Time,Longitude,Latitude,Altitude,Roll (deg),Pitch (deg),Yaw (deg),Health
0.0,128.181881,37.92387,7000.2263856,-0.888,0.166,359.916,1.0
0.1,128.181881,37.92414,7000.40256,-4.892,1.124,359.774,1.0
0.2,128.18188,37.924409,7000.7259527999995,-11.547,2.063,359.661,1.0
0.3,128.18188,37.924678,7001.2249104,-20.195,3.068,359.388,1.0
0.4,128.181877,37.924947,7001.9381424,-28.717,5.28,358.519,1.0
0.5,128.181874,37.925215,7002.855285600001,-32.667,7.481,357.431,1.0
0.6,128.181868,37.925483,7003.9556136,-32.872,9.114,356.435,1.0
0.7,128.181861,37.92575,7005.221448,-30.313,10.326,355.674,1.0
0.8,128.181852,37.926017,7006.6762584,-25.59,11.276,355.165,1.0
0.9,128.181841,37.926283,7008.3477816,-19.062,12.088,354.894,1.0
1.0,128.18183,37.926549,7010.2561344,-10.94,12.843,354.851,1.0
1.1,128.181817,37.926813,7012.4260056,-2.859,13.58,354.936,1.0
1.2,128.181804,37.927077,7014.925365600001,1.592,14.348,355.069,1.0
1.3,128.181791,37.927339,7017.8276712,2.931,15.191,355.313,1.0
1.4,128.181778,37.9276,7021.1935776,1.785,16.103,355.582,1.0
1.5,128.181765,37.927859,7025.030400000001,-1.42,17.069,355.789,1.0
1.6,128.181752,37.928116,7029.334176,-6.421,18.061,355.86,1.0
1.7,128.181739,37.928371,7034.099114400001,-13.062,19.057,355.733,1.0
1.8,128.181724,37.928624,7039.31028,-21.264,20.033,355.351,1.0
1.9,128.181707,37.928876,7044.926220000001,-29.508,21.007,354.768,1.0
2.0,128.181687,37.929125,7050.8551896,-34.314,21.987,354.049,1.0
2.1,128.181666,37.929374,7057.0106256,-36.125,22.703,353.319,1.0
2.2,128.181643,37.929621,7063.295601600001,-35.148,21.848,353.746,1.0
2.3,128.181619,37.929867,7069.6491576,-32.045,20.02,354.878,1.0
2.4,128.181595,37.930114,7076.018868,-27.405,18.284,355.863,1.0
2.5,128.181571,37.930359,7082.3590128000005,-21.417,16.875,356.546,1.0
2.6,128.181546,37.930605,7088.6723352,-14.375,17.288,356.426,1.0
2.7,128.181521,37.93085,7095.015528000001,-6.388,19.582,355.91,1.0
2.8,128.181497,37.931094,7101.4641816,1.064,21.561,355.623,1.0
2.9,128.181472,37.931337,7108.0826088,4.49,21.118,355.404,1.0
3.0,128.181448,37.931579,7114.900070400001,4.528,19.176,355.172,1.0
3.1,128.181424,37.93182,7121.921748,1.818,17.655,355.007,1.0
3.2,128.1814,37.932059,7129.138497600001,-3.22,18.195,354.917,1.0
3.3,128.181376,37.932296,7136.587504800001,-10.25,20.767,354.6,1.0
3.4,128.181351,37.932532,7144.3120512000005,-18.885,23.159,353.989,1.0
3.5,128.181325,37.932766,7152.2779992000005,-27.123,23.39,353.944,1.0
3.6,128.181298,37.932999,7160.366172,-31.503,21.979,354.837,1.0
3.7,128.181271,37.933232,7168.4561736000005,-32.966,20.565,355.778,1.0
3.8,128.181244,37.933464,7176.451077600001,-32.204,19.465,356.526,1.0
3.9,128.181217,37.933696,7184.3460072,-29.908,19.904,356.252,1.0
4.0,128.18119,37.933928,7192.193083200001,-26.449,22.181,354.887,1.0
4.1,128.181163,37.93416,7200.0645432,-21.712,24.724,353.53,1.0
4.2,128.181135,37.934391,7208.026833600001,-15.651,26.792,352.679,1.0
4.3,128.181106,37.934621,7216.1439624,-8.897,28.466,352.252,1.0
4.4,128.181077,37.934849,7224.5018832000005,-2.694,29.677,352.157,1.0
4.5,128.181048,37.935075,7233.080174400001,3.319,29.127,352.379,1.0
4.6,128.181019,37.935301,7241.8297632,9.445,27.611,352.629,1.0
4.7,128.180991,37.935525,7250.7219984,16.046,27.334,353.096,1.0
4.8,128.180964,37.935748,7259.7742536000005,22.388,28.752,354.045,1.0
4.9,128.180938,37.935969,7269.0615096,26.259,30.528,355.183,1.0
5.0,128.180914,37.936189,7278.6489936,27.822,32.175,356.432,1.0
5.1,128.180894,37.936406,7288.547983200001,27.369,33.485,357.566,1.0
