Time,Longitude,Latitude,Altitude,Roll (deg),Pitch (deg),Yaw (deg),Health
0.0,128.181881,37.968239,7002.7473864,-0.888,0.166,179.916,1.0
0.1,128.181881,37.967969,7002.704409600001,-3.038,1.124,179.89,1.0
0.2,128.181881,37.9677,7002.694656000001,-1.737,2.047,180.059,1.0
0.3,128.181881,37.96743,7002.666614400001,2.689,2.469,180.226,1.0
0.4,128.181881,37.96716,7002.5562768,9.566,1.147,180.28,1.0
0.5,128.181881,37.96689,7002.3279816,18.546,-0.184,180.215,1.0
0.6,128.181882,37.966619,7001.988129599999,29.2,0.183,180.576,1.0
0.7,128.181881,37.966349,7001.5864032,38.887,0.943,181.064,1.0
0.8,128.18188,37.966078,7001.2047936,43.397,1.526,181.473,1.0
0.9,128.181877,37.965807,7000.9112712,43.667,1.965,181.88,1.0
1.0,128.181872,37.965537,7000.7427168,40.68,2.147,182.085,1.0
1.1,128.181865,37.965267,7000.674746400001,35.094,1.131,181.306,1.0
1.2,128.181857,37.964997,7000.6777944000005,27.369,0.103,180.632,1.0
1.3,128.181848,37.964727,7000.7573472,17.891,0.661,180.893,1.0
1.4,128.181838,37.964458,7000.9323024,9.096,1.67,181.372,1.0
1.5,128.181827,37.964189,7001.171570400001,5.557,2.257,181.761,1.0
1.6,128.181817,37.963919,7001.398951200001,6.33,1.935,181.959,1.0
1.7,128.181807,37.963649,7001.5419024,10.398,1.506,182.101,1.0
1.8,128.181796,37.963379,7001.580612,17.062,1.104,182.197,1.0
1.9,128.181786,37.963109,7001.519956800001,23.935,0.766,182.144,1.0
2.0,128.181775,37.962839,7001.4169344,26.306,0.519,181.967,1.0
2.1,128.181763,37.962569,7001.3328096000005,24.756,0.326,181.837,1.0
2.2,128.181751,37.962298,7001.317264800001,20.12,0.188,181.764,1.0
2.3,128.181738,37.962029,7001.3736528,13.064,0.092,181.74,1.0
2.4,128.181725,37.961759,7001.487648,5.981,0.008,181.862,1.0
2.5,128.181711,37.961489,7001.590060800001,3.632,-0.068,182.113,1.0
2.6,128.181698,37.961219,7001.6025576,5.364,-0.14,182.327,1.0
2.7,128.181685,37.960949,7001.4657024,10.24,-0.248,182.498,1.0
2.8,128.181671,37.960679,7001.1886392,15.642,-0.378,182.518,1.0
2.9,128.181658,37.960408,7000.849701600001,16.693,-0.237,182.484,1.0
3.0,128.181644,37.960137,7000.585744800001,13.969,1.799,183.007,1.0
3.1,128.181628,37.959867,7000.555874400001,8.416,4.853,183.672,1.0
3.2,128.181613,37.959597,7000.809468,1.435,5.698,183.834,1.0
3.3,128.181597,37.959328,7001.2291776,-5.114,3.406,183.847,1.0
3.4,128.181581,37.959058,7001.6900352,-10.648,1.114,184.069,1.0
3.5,128.181565,37.958789,7002.083532000001,-12.615,1.123,184.124,1.0
3.6,128.181549,37.958519,7002.417288000001,-11.378,3.864,183.601,1.0
