iteration,global_step,mean_return,mean_length,completed_episodes,policy_loss,value_loss,entropy,approx_kl,explained_variance,ep_pursuit,ep_damage,ep_terminal,elapsed_sec
1,2048,-23.2123,471.2,4,0.02878,1.73055,1.6768,0.46939,0.2277,4.6002,0.0000,-22.5000,6.43
2,4096,-31.3158,447.8,4,0.05159,2.98556,1.6800,0.07152,0.3295,4.1117,0.0000,-30.0000,6.40
3,6144,-31.7325,433.4,5,0.02153,1.50475,1.6967,0.06438,0.4582,3.7015,0.0000,-30.0000,6.67
4,8192,-23.7004,484.2,4,0.09798,2.05817,1.6994,0.06346,0.6044,4.3921,0.0000,-22.5000,6.39
5,10240,-17.4684,545.5,4,-0.00585,1.88174,1.7040,0.07157,0.5736,4.4366,0.0000,-15.0000,6.46
6,12288,-16.0409,561.0,4,-0.00747,1.10236,1.7064,0.07189,0.6239,5.1441,0.0000,-15.0000,6.50
7,14336,-31.1180,464.0,4,0.04695,2.68123,1.7268,0.06074,0.5706,4.6970,0.0000,-30.0000,6.58
8,16384,-23.9767,547.2,4,0.00467,0.78061,1.7311,0.05514,0.6347,4.8708,0.0000,-22.5000,6.43
9,18432,-22.8649,491.8,4,0.06324,0.66156,1.7327,0.09786,0.6551,5.0917,0.2609,-22.5000,6.41
10,20480,-23.8946,539.2,4,0.07735,0.94476,1.7328,0.05990,0.6510,4.9229,0.0000,-22.5000,6.47
11,22528,-23.2764,489.8,4,0.04742,1.05549,1.7327,0.05089,0.6421,5.1445,0.5266,-22.5000,6.49
12,24576,-11.8691,585.3,3,0.00519,0.08156,1.7301,0.07165,0.7796,4.4509,0.0000,-10.0000,6.35
13,26624,-15.6280,534.8,4,0.02052,0.68966,1.7325,0.05063,0.8086,5.2027,0.1168,-15.0000,6.40
14,28672,-24.0833,494.8,4,0.01750,0.65157,1.7343,0.06034,0.7579,4.3892,0.0000,-22.5000,6.36
15,30720,-10.1001,593.0,4,0.02408,0.24565,1.7351,0.05018,0.8366,3.9049,0.0000,-7.5000,6.47
16,32768,-23.9615,565.3,3,0.01815,0.81943,1.7352,0.07103,0.7061,3.1864,-0.6280,-20.0000,6.27
17,34816,-10.1622,543.0,4,0.00028,0.38186,1.7425,0.05893,0.8485,2.9678,0.0000,-7.5000,6.50
18,36864,-2.2826,600.0,4,0.02077,0.10038,1.7411,0.03258,0.8917,3.7174,0.0000,0.0000,6.64
19,38912,-12.3122,537.7,3,0.00165,0.45457,1.7410,0.05663,0.8420,3.4978,0.0000,-10.0000,6.34
20,40960,-2.5706,600.0,4,0.01906,0.10137,1.7364,0.02364,0.8065,3.4294,0.0000,0.0000,6.73
21,43008,-2.8490,600.0,3,0.01370,0.03593,1.7360,0.02985,0.9436,3.1510,0.0000,0.0000,6.60
22,45056,-9.2963,548.0,4,-0.02243,0.38117,1.7405,0.05308,0.7211,4.0337,0.0000,-7.5000,6.89
23,47104,-1.9313,600.0,3,0.00588,0.01916,1.7380,0.01948,0.8319,4.0687,0.0000,0.0000,6.58
24,49152,-2.2021,600.0,4,0.00054,0.02301,1.7454,0.03048,0.8860,3.7979,0.0000,0.0000,6.74
25,51200,-1.4231,600.0,3,0.00633,0.01913,1.7457,0.02158,0.9225,4.5769,0.0000,0.0000,6.50
26,53248,-10.0225,572.2,4,0.02357,0.22006,1.7468,0.06374,0.6339,3.8500,0.0000,-7.5000,6.54
27,55296,-2.8772,600.0,3,-0.00346,0.01219,1.7621,0.02914,0.8918,3.1228,0.0000,0.0000,6.57
28,57344,-0.9544,600.0,4,-0.00161,0.01185,1.7751,0.03427,0.9221,5.0456,0.0000,0.0000,6.64
29,59392,-0.7648,600.0,3,0.04061,0.03681,1.7783,0.06039,0.8730,5.0606,0.1746,0.0000,6.30
30,61440,-1.2358,600.0,3,0.00671,0.02913,1.7800,0.03755,0.8771,4.7642,0.0000,0.0000,6.58
31,63488,-2.3049,600.0,4,0.01997,0.01540,1.7766,0.05091,0.9103,3.6951,0.0000,0.0000,6.53
32,65536,-2.5793,600.0,3,-0.00273,0.00636,1.7645,0.02544,0.9266,3.4207,0.0000,0.0000,6.65
33,67584,-1.8157,600.0,4,0.00801,0.01459,1.7628,0.02883,0.9371,4.1843,0.0000,0.0000,6.62
34,69632,-1.8009,600.0,3,0.02208,0.01682,1.7624,0.02581,0.9275,4.1991,0.0000,0.0000,6.64
35,71680,-0.6766,600.0,3,0.01282,0.01118,1.7601,0.03317,0.9210,5.3234,0.0000,0.0000,6.52
36,73728,-1.7503,600.0,4,-0.00683,0.01178,1.7609,0.02635,0.9216,4.2497,0.0000,0.0000,6.68
37,75776,-2.8687,600.0,3,-0.00313,0.01411,1.7665,0.05872,0.9062,3.1313,0.0000,0.0000,6.55
38,77824,-3.5423,600.0,4,0.03151,0.00944,1.7617,0.05312,0.9148,2.4577,0.0000,0.0000,6.47
39,79872,-0.6385,600.0,3,0.02503,0.00705,1.7634,0.02553,0.9303,5.3615,0.0000,0.0000,6.66
40,81920,-1.6183,600.0,3,0.02886,0.00393,1.7570,0.02798,0.9606,4.3817,0.0000,0.0000,6.64
41,83968,-0.8885,600.0,4,0.02384,0.01285,1.7693,0.02323,0.9557,5.1115,0.0000,0.0000,6.61
42,86016,-0.8370,600.0,3,-0.01775,0.00680,1.7746,0.01899,0.9579,5.1630,0.0000,0.0000,6.54
43,88064,-1.2945,600.0,4,0.01014,0.00737,1.7891,0.02261,0.9623,4.7055,0.0000,0.0000,6.94
44,90112,-1.0283,600.0,3,0.01259,0.00613,1.7748,0.01712,0.9720,4.9717,0.0000,0.0000,6.58
45,92160,-0.8542,600.0,4,0.00190,0.00966,1.7651,0.02281,0.9639,5.1458,0.0000,0.0000,6.61
46,94208,-0.0408,600.0,3,0.00327,0.01906,1.7574,0.06953,0.9197,5.5322,0.4270,0.0000,6.44
47,96256,-0.3391,600.0,3,0.00044,0.01465,1.7587,0.01980,0.9703,5.6609,0.0000,0.0000,6.53
48,98304,-0.9744,600.0,4,0.00091,0.02255,1.7584,0.02645,0.9097,5.0256,0.0000,0.0000,6.75
49,100352,-6.2795,532.8,4,0.04819,1.20261,1.7593,0.09280,0.3403,6.2263,0.8717,-7.5000,6.48
50,102400,-9.2440,573.3,3,0.16568,2.35240,1.7598,0.08132,0.3009,6.0603,0.7624,-10.0000,6.25
51,104448,0.7976,600.0,4,-0.00352,0.02786,1.7585,0.02564,0.9459,6.2425,0.5551,0.0000,6.65
52,106496,-0.0255,600.0,3,0.00886,0.01336,1.7694,0.02873,0.9682,5.9745,0.0000,0.0000,6.59
53,108544,-0.0909,600.0,3,-0.00675,0.00839,1.7692,0.03937,0.9762,5.5665,0.3427,0.0000,6.52
54,110592,-0.1492,600.0,4,-0.00356,0.03011,1.7705,0.02799,0.9530,5.7653,0.0855,0.0000,6.71
55,112640,-0.2035,600.0,3,0.02294,0.01004,1.7807,0.02053,0.9755,5.7965,0.0000,0.0000,6.58
56,114688,-0.3311,600.0,4,0.02103,0.00387,1.7795,0.01310,0.9772,5.6689,0.0000,0.0000,6.68
57,116736,-0.0508,600.0,3,0.01677,0.00311,1.7774,0.06991,0.9697,5.9176,0.0316,0.0000,6.45
58,118784,-7.6716,552.2,4,0.02726,0.89532,1.7782,0.07073,0.4358,5.6009,0.0000,-7.5000,6.48
59,120832,-15.5406,530.5,4,0.01737,1.03448,1.7807,0.08930,0.3772,5.2394,0.0000,-15.0000,6.42
60,122880,-1.3614,600.0,3,-0.00704,0.00698,1.7767,0.01495,0.9662,4.6141,0.0245,0.0000,6.55
61,124928,-15.1002,481.0,4,-0.01408,1.97896,1.7776,0.07008,0.3437,5.2248,0.0351,-15.0000,6.48
62,126976,-16.6174,544.8,4,0.01994,2.09393,1.7794,0.14817,0.5140,5.0649,-0.4598,-15.0000,6.52
63,129024,-10.5752,553.2,4,0.04520,1.08521,1.7835,0.06414,0.4331,5.1823,0.0000,-7.5000,6.53
64,131072,-8.4459,547.2,4,-0.00728,0.39979,1.7904,0.08739,0.5117,4.7053,0.1962,-7.5000,6.58
65,133120,-1.3901,600.0,3,-0.00388,0.00996,1.8028,0.01954,0.9527,4.6099,0.0000,0.0000,6.50
66,135168,-15.4693,511.2,4,0.01794,2.36636,1.8065,0.06052,0.3611,4.8633,0.8300,-15.0000,6.58
67,137216,-0.4792,600.0,3,-0.01676,0.01517,1.8064,0.01405,0.9668,5.5208,0.0000,0.0000,6.53
68,139264,-15.8595,555.8,4,-0.00763,0.67754,1.8049,0.02160,0.5650,5.6230,0.0000,-15.0000,6.56
69,141312,-7.8534,555.5,4,0.07255,1.00475,1.8043,0.06162,0.6351,5.4266,0.0000,-7.5000,6.51
70,143360,-7.9287,552.0,4,-0.00458,0.27820,1.8042,0.05189,0.6465,5.3163,0.0000,-7.5000,6.42
71,145408,-1.3361,600.0,3,-0.00633,0.01583,1.8060,0.02112,0.9465,4.6639,0.0000,0.0000,6.51
72,147456,-1.1650,600.0,3,-0.00165,0.00504,1.8055,0.01341,0.9638,4.8350,0.0000,0.0000,6.58
73,149504,-8.3313,564.2,4,0.00064,0.19363,1.8101,0.06067,0.5944,5.0362,0.0000,-7.5000,6.60
74,151552,-7.0912,541.2,4,-0.02826,1.45091,1.8070,0.05301,0.4990,5.6778,0.3685,-7.5000,6.59
75,153600,-1.5156,600.0,3,0.00018,0.00409,1.8044,0.01432,0.9672,4.4844,0.0000,0.0000,6.62
76,155648,-1.5460,600.0,4,-0.00770,0.01064,1.8037,0.01330,0.9578,4.4540,0.0000,0.0000,6.75
77,157696,0.2229,600.0,3,0.00121,0.01265,1.8013,0.01694,0.9573,5.7696,0.4533,0.0000,6.58
78,159744,-0.7247,600.0,3,0.00538,0.00496,1.7948,0.01223,0.9654,5.2753,0.0000,0.0000,6.51
79,161792,-0.8700,600.0,4,-0.01115,0.00794,1.7968,0.02167,0.9599,5.1300,0.0000,0.0000,6.60
80,163840,-0.6587,600.0,3,-0.00031,0.00435,1.7949,0.01750,0.9646,5.3413,0.0000,0.0000,6.55
81,165888,-0.5738,600.0,4,-0.00161,0.00923,1.8006,0.01400,0.9758,5.4262,0.0000,0.0000,6.65
82,167936,-0.1594,600.0,3,-0.00481,0.00783,1.8011,0.01322,0.9715,5.8406,0.0000,0.0000,6.47
83,169984,-0.1417,600.0,4,0.00142,0.00414,1.8066,0.01427,0.9775,5.8583,0.0000,0.0000,6.62
84,172032,-0.1134,600.0,3,0.02410,0.01915,1.8107,0.01483,0.9639,5.8866,0.0000,0.0000,6.51
85,174080,-0.7923,600.0,3,-0.01258,0.01246,1.8073,0.01595,0.9634,5.2077,0.0000,0.0000,6.53
86,176128,-0.3018,600.0,4,0.01908,0.00640,1.8165,0.01398,0.9785,5.6982,0.0000,0.0000,6.65
87,178176,-0.1978,600.0,3,-0.01355,0.00942,1.8182,0.01771,0.9698,5.7923,0.0099,0.0000,6.47
88,180224,-1.0432,600.0,4,-0.00633,0.00731,1.8195,0.01333,0.9772,4.9568,0.0000,0.0000,6.66
89,182272,-0.0150,600.0,3,-0.00058,0.00770,1.8196,0.01555,0.9650,5.9850,0.0000,0.0000,6.57
90,184320,-0.4052,600.0,3,-0.00194,0.00914,1.8259,0.01672,0.9734,5.5948,0.0000,0.0000,6.50
91,186368,-0.0304,600.0,4,-0.00081,0.00909,1.8226,0.01162,0.9691,5.7688,0.2007,0.0000,6.69
92,188416,-0.1926,600.0,3,-0.01075,0.00781,1.8162,0.01109,0.9811,5.8074,0.0000,0.0000,6.48
93,190464,0.1384,600.0,4,-0.01560,0.01062,1.8123,0.01599,0.9733,5.8220,0.3164,0.0000,6.64
94,192512,-0.7787,600.0,3,-0.00972,0.00848,1.8129,0.01181,0.9728,5.2213,0.0000,0.0000,6.50
95,194560,-0.3731,600.0,4,-0.01786,0.00431,1.8178,0.01281,0.9806,5.6269,0.0000,0.0000,6.64
96,196608,-0.3836,600.0,3,-0.01015,0.00930,1.8236,0.01128,0.9797,5.5658,0.0505,0.0000,6.53
97,198656,-0.2089,600.0,3,0.02423,0.00360,1.8252,0.01348,0.9836,5.7911,0.0000,0.0000,6.55
98,200704,-1.0551,600.0,4,0.00018,0.01115,1.8263,0.01177,0.9535,4.9449,0.0000,0.0000,6.78
99,202752,-11.2994,570.7,3,-0.02461,0.98645,1.8252,0.01682,0.6443,5.2399,-0.2994,-10.0000,6.52
100,204800,-0.9399,600.0,4,-0.00718,0.00545,1.8227,0.01173,0.9709,5.0601,0.0000,0.0000,6.64
101,206848,-0.7181,600.0,3,-0.00158,0.00376,1.8176,0.01449,0.9786,5.2819,0.0000,0.0000,6.55
102,208896,-0.4109,600.0,4,-0.00479,0.00936,1.8147,0.01260,0.9761,5.5891,0.0000,0.0000,6.56
103,210944,-0.7852,600.0,3,0.01140,0.01034,1.8141,0.01007,0.9751,5.2148,0.0000,0.0000,6.49
104,212992,-7.2435,566.2,4,-0.01498,0.41182,1.8131,0.02174,0.4748,6.0379,0.0811,-7.5000,6.68
105,215040,0.1760,600.0,3,-0.03062,0.00739,1.8070,0.01216,0.9809,6.1760,0.0000,0.0000,6.47
106,217088,0.2656,600.0,3,-0.00232,0.00396,1.8054,0.01068,0.9858,6.2656,0.0000,0.0000,6.53
107,219136,0.3465,600.0,4,-0.02709,0.01340,1.8054,0.01459,0.9532,5.8932,0.4533,0.0000,6.80
108,221184,0.3944,600.0,3,-0.01026,0.04168,1.8049,0.01146,0.9542,5.8119,0.5824,0.0000,6.55
109,223232,-0.5929,600.0,4,0.00042,0.01717,1.8061,0.00883,0.9630,5.4071,0.0000,0.0000,6.69
110,225280,-0.7598,600.0,3,0.00459,0.01353,1.8061,0.00956,0.9705,5.2402,0.0000,0.0000,6.58
111,227328,-1.0411,600.0,4,-0.02694,0.00691,1.8064,0.01434,0.9502,4.9589,0.0000,0.0000,6.68
112,229376,-0.9166,600.0,3,-0.00652,0.01263,1.8072,0.01324,0.9417,5.0834,0.0000,0.0000,6.55
113,231424,0.2164,600.0,3,-0.00992,0.00557,1.8073,0.00728,0.9649,5.7751,0.4414,0.0000,6.50
114,233472,-0.4660,600.0,4,-0.00898,0.00817,1.8051,0.00682,0.9866,5.5340,0.0000,0.0000,6.58
115,235520,-1.4651,600.0,3,-0.02641,0.01045,1.8041,0.00725,0.9479,4.5349,0.0000,0.0000,6.46
116,237568,-0.2105,600.0,4,-0.01263,0.00354,1.8036,0.00771,0.9785,5.7083,0.0812,0.0000,6.69
117,239616,-0.0049,600.0,3,0.00778,0.00596,1.8027,0.00624,0.9640,5.9951,0.0000,0.0000,6.51
118,241664,-1.0419,600.0,3,-0.01259,0.02152,1.8029,0.00605,0.9533,4.9581,0.0000,0.0000,6.49
119,243712,-0.2907,600.0,4,-0.01724,0.00579,1.8027,0.00502,0.9855,5.7093,0.0000,0.0000,6.66
120,245760,-2.9265,600.0,3,0.00031,0.01520,1.8027,0.00399,0.9093,3.0735,0.0000,0.0000,6.57
