iteration,global_step,mean_return,mean_length,completed_episodes,policy_loss,value_loss,entropy,approx_kl,explained_variance,ep_pursuit,ep_damage,ep_shaping,ep_terminal,elapsed_sec,win,loss,draw,raw_win_rate,ema_mean,ema_min,pool_size,opp_added,altitude_term,ema_bt,bt_win_rate,bt_games,update_epochs,critic_epochs,update_early_stop
1,79998,7.4511,1588.6,48,-0.01518,0.00393,1.2717,0.06492,0.8014,0.0000,6.0196,1.7440,-0.3125,306.56,36,7,5,0.7500,0.4853,0.4853,4,0,1,0.5455,0.9545,22,3,5,1
2,159996,7.3547,1420.1,56,-0.04366,0.00102,1.2242,0.06096,0.8750,0.0000,5.7535,1.5119,0.0893,330.34,44,10,2,0.7857,0.4779,0.4779,4,0,0,0.5859,0.9333,15,3,5,1
3,239994,7.4789,1552.2,52,-0.00641,0.00177,1.1163,0.05876,0.9002,0.0000,5.5891,1.7937,0.0962,304.19,38,8,6,0.7308,0.4551,0.4551,4,0,0,0.6273,1.0000,19,3,5,1
4,319992,4.9282,1612.0,51,-0.03589,0.00448,1.1226,0.05803,0.8372,0.0000,4.1331,1.1872,-0.3922,289.03,31,14,6,0.6078,0.4415,0.4415,4,0,1,0.6563,0.9231,13,3,5,1
5,399990,6.6467,1518.8,51,-0.01920,0.00192,1.1151,0.05687,0.8464,0.0000,5.7781,1.1627,-0.2941,305.12,40,8,3,0.7843,0.4584,0.4584,4,0,1,0.6844,0.9412,17,3,5,1
6,479988,7.6319,1540.1,51,-0.03331,0.00158,1.2516,0.05817,0.8930,0.0000,5.9071,2.0189,-0.2941,294.52,36,9,6,0.7059,0.4459,0.4459,4,0,1,0.7114,0.9474,19,3,5,1
7,559986,5.2548,1627.9,49,-0.02352,0.00199,1.1420,0.06074,0.9079,0.0000,4.1882,0.9646,0.1020,246.43,30,12,7,0.6122,0.4370,0.4370,4,0,0,0.7403,1.0000,10,3,5,1
8,639984,5.6179,1516.2,51,-0.02298,0.00147,1.2171,0.06279,0.9084,0.0000,5.2128,1.1894,-0.7843,301.02,32,13,6,0.6275,0.4171,0.4171,4,0,2,0.7600,0.9412,17,3,5,1
9,719982,7.7682,1626.5,46,-0.02579,0.00143,1.1566,0.06723,0.9416,0.0000,5.6186,2.1496,0.0000,296.62,34,7,5,0.7391,0.4088,0.4088,4,0,0,0.7840,1.0000,17,3,5,1
10,799980,6.0024,1613.1,49,-0.02171,0.00246,1.1280,0.06061,0.8296,0.0000,5.1304,1.2802,-0.4082,302.13,34,12,3,0.6939,0.4157,0.4157,4,0,1,0.7993,0.9091,11,3,5,1
11,879978,6.5285,1575.9,51,-0.05549,0.00272,1.0770,0.06458,0.9430,0.0000,5.4317,0.9987,0.0980,287.67,36,8,7,0.7059,0.4150,0.4150,4,0,0,0.8194,1.0000,13,3,5,1
12,959976,4.8668,1624.0,50,-0.02302,0.00111,1.2413,0.06344,0.8905,0.0000,4.3296,0.3372,0.2000,278.57,34,9,7,0.6800,0.4054,0.4054,4,0,0,0.8375,1.0000,14,3,5,1
13,1039974,4.4685,1668.1,47,-0.02200,0.00112,0.9175,0.06299,0.9081,0.0000,3.4577,1.4363,-0.4255,274.21,26,14,7,0.5532,0.4008,0.4008,4,0,1,0.8537,1.0000,7,3,5,1
14,1119972,7.2239,1596.9,51,-0.01495,0.00195,1.0017,0.06076,0.9053,0.0000,5.5881,1.6358,0.0000,309.83,38,6,7,0.7451,0.3941,0.3941,4,0,0,0.8683,1.0000,19,3,5,1
15,1199970,3.4902,1656.1,49,-0.03067,0.00125,1.0967,0.05597,0.9238,0.0000,3.5088,-0.1207,0.1020,253.28,29,15,5,0.5918,0.3913,0.3913,4,0,0,0.8815,1.0000,7,3,5,1
16,1279968,4.8679,1706.0,46,-0.01781,0.00132,1.0889,0.05831,0.9175,0.0000,3.8613,0.8980,0.1087,255.22,28,12,6,0.6087,0.3872,0.3872,4,0,0,0.8934,1.0000,14,3,5,1
17,1359966,6.3942,1673.4,48,-0.02446,0.00058,1.0582,0.05908,0.9122,0.0000,4.3568,1.9332,0.1042,277.86,32,9,7,0.6667,0.3885,0.3885,4,0,0,0.9040,1.0000,10,3,5,1
18,1439964,3.8108,1724.2,45,-0.02435,0.00099,1.1604,0.05975,0.9432,0.0000,2.9870,0.8238,0.0000,245.44,27,14,4,0.6000,0.3896,0.3896,4,0,0,0.9136,1.0000,8,3,5,1
19,1519962,5.2985,1668.5,46,-0.02351,0.00234,1.2680,0.05862,0.9083,0.0000,4.5460,1.5134,-0.7609,293.37,32,9,5,0.6957,0.3928,0.3928,4,0,2,0.9160,0.9412,17,3,5,1
20,1599960,6.0281,1620.8,47,0.00937,0.00124,1.1646,0.05867,0.9145,0.0000,5.3912,0.6369,0.0000,297.91,34,11,2,0.7234,0.3993,0.3993,4,0,0,0.9244,1.0000,9,3,5,1
21,1679958,5.5015,1656.2,51,-0.03546,0.00098,1.1434,0.06125,0.9317,0.0000,4.5476,0.9539,0.0000,284.90,31,15,5,0.6078,0.3927,0.3927,4,0,0,0.9220,0.9091,11,3,5,1
22,1759956,5.5827,1653.6,47,-0.02207,0.00096,1.0227,0.05589,0.9172,0.0000,4.4684,1.5398,-0.4255,287.41,31,5,11,0.6596,0.3935,0.3935,4,0,1,0.9159,0.8667,15,3,5,1
23,1839954,5.1974,1714.5,46,-0.01972,0.00059,1.1081,0.05930,0.9241,0.0000,4.0806,1.5516,-0.4348,255.02,28,11,7,0.6087,0.3887,0.3887,4,0,1,0.8993,0.6667,3,3,5,1
24,1919952,6.2493,1642.6,49,-0.02364,0.00218,1.0440,0.05914,0.9324,0.0000,4.8682,1.6873,-0.3061,291.62,33,11,5,0.6735,0.3908,0.3908,4,0,1,0.9044,0.9444,18,3,5,1
25,1999950,3.3881,1654.7,49,-0.03537,0.00071,1.0341,0.06134,0.9310,0.0000,2.6629,0.5211,0.2041,252.00,26,16,7,0.5306,0.3793,0.3793,4,0,0,0.9139,1.0000,8,3,5,1
26,2079948,5.2815,1674.8,47,0.00212,0.00160,1.1504,0.06190,0.9372,0.0000,4.1069,0.9619,0.2128,239.12,31,8,8,0.6596,0.3805,0.3805,4,0,0,0.9225,1.0000,15,3,5,1
27,2159946,6.2656,1752.3,47,-0.00911,0.00159,0.9504,0.06432,0.9292,0.0000,4.2759,1.8834,0.1064,286.58,33,7,7,0.7021,0.3904,0.3904,4,0,0,0.9303,1.0000,10,3,5,1
28,2239944,5.8286,1652.1,47,-0.03236,0.00127,1.1804,0.05801,0.9454,0.0000,4.3737,1.3485,0.1064,248.28,33,10,4,0.7021,0.3931,0.3931,4,0,0,0.9373,1.0000,10,3,5,1
29,2319942,3.6953,1761.5,46,-0.03341,0.00084,0.9830,0.06017,0.8440,0.0000,3.4887,0.4239,-0.2174,248.66,29,12,5,0.6304,0.4037,0.4037,4,0,1,0.9435,1.0000,7,3,5,1
30,2399940,3.4152,1702.3,47,-0.02784,0.00141,0.9344,0.05882,0.9036,0.0000,3.5500,-0.3476,0.2128,261.99,28,11,8,0.5957,0.3980,0.3980,4,0,0,0.9367,0.9000,10,3,5,1
31,2479938,5.7719,1671.2,46,-0.01315,0.00088,1.0202,0.05884,0.9039,0.0000,4.5195,1.2524,0.0000,279.21,32,11,3,0.6957,0.4036,0.4036,4,0,0,0.9430,1.0000,9,3,5,1
32,2559936,6.7797,1586.9,52,-0.03072,0.00132,1.2420,0.05630,0.8613,0.0000,5.9084,1.6406,-0.7692,320.50,40,5,7,0.7692,0.4159,0.4159,4,0,2,0.9404,0.8889,9,3,5,1
33,2639934,6.2059,1566.6,51,-0.02743,0.00103,1.1361,0.05636,0.8465,0.0000,4.7193,1.5846,-0.0980,243.76,40,7,4,0.7843,0.4410,0.4410,4,0,1,0.9338,0.8750,8,3,5,1
34,2719932,5.2021,1606.1,49,-0.03704,0.00117,1.0680,0.06088,0.9208,0.0000,4.1019,1.5084,-0.4082,271.58,28,16,5,0.5714,0.4289,0.4289,4,0,1,0.9305,0.9091,11,3,5,1
35,2799930,4.6530,1689.2,49,-0.03768,0.00120,0.9205,0.05722,0.9138,0.0000,3.8923,1.0668,-0.3061,263.12,31,12,6,0.6327,0.4267,0.4267,4,0,1,0.9374,1.0000,11,3,5,1
36,2879928,4.5813,1617.7,48,-0.03291,0.00075,1.2161,0.05619,0.9205,0.0000,3.6721,1.2217,-0.3125,267.80,29,13,6,0.6042,0.4187,0.4187,4,0,1,0.9337,0.8750,8,3,5,1
37,2959926,6.0895,1663.0,48,-0.03182,0.00102,1.1859,0.06108,0.9055,0.0000,4.9772,1.1123,0.0000,292.33,34,10,4,0.7083,0.4149,0.4149,4,0,0,0.9403,1.0000,14,3,5,1
38,3039924,6.4608,1529.2,54,-0.02431,0.00211,1.1319,0.05992,0.9266,0.0000,5.2989,1.4396,-0.2778,276.59,40,11,3,0.7407,0.4234,0.4234,4,0,1,0.9463,1.0000,11,3,5,1
39,3119922,5.5525,1653.4,48,-0.02231,0.00135,1.2361,0.06222,0.9067,0.0000,4.4352,1.2215,-0.1042,284.24,34,9,5,0.7083,0.4246,0.4246,4,0,1,0.9454,0.9167,12,3,5,1
40,3199920,7.0545,1632.4,47,-0.04333,0.00099,1.1582,0.05830,0.9142,0.0000,5.5974,1.4571,0.0000,318.40,36,8,3,0.7660,0.4297,0.4297,4,0,0,0.9509,1.0000,17,3,5,1
41,3279918,6.4348,1739.6,47,-0.02290,0.00060,1.1622,0.05750,0.9119,0.0000,4.9675,1.3609,0.1064,259.55,33,9,5,0.7021,0.4322,0.4322,4,0,0,0.9502,0.9375,16,3,5,1
42,3359916,7.0550,1654.6,50,-0.03289,0.00071,1.0188,0.05783,0.9318,0.0000,5.1930,1.8619,0.0000,231.15,36,9,5,0.7200,0.4470,0.4470,4,0,0,0.9552,1.0000,12,3,5,1
43,3439914,5.3463,1643.8,46,-0.01678,0.00177,1.0190,0.07395,0.9336,0.0000,4.4013,0.8363,0.1087,270.70,29,11,6,0.6304,0.4408,0.4408,4,0,0,0.9597,1.0000,12,3,5,1
44,3519912,5.3245,1678.5,49,-0.00113,0.00169,1.1958,0.06165,0.8962,0.0000,4.3508,0.9737,0.0000,266.31,29,14,6,0.5918,0.4253,0.4253,4,0,0,0.9637,1.0000,9,3,5,1
45,3599910,5.6295,1736.4,46,-0.00014,0.00122,1.0583,0.05817,0.9180,0.0000,4.4306,1.1990,0.0000,256.56,33,7,6,0.7174,0.4448,0.4448,4,0,0,0.9673,1.0000,7,3,5,1
46,3679908,7.4635,1563.3,52,-0.02453,0.00201,1.0582,0.05589,0.9140,0.0000,5.4725,1.8949,0.0962,290.90,41,8,3,0.7885,0.4580,0.4580,4,0,0,0.9706,1.0000,14,3,5,1
47,3759906,5.0160,1615.1,50,-0.03402,0.00085,1.1967,0.05942,0.8606,0.0000,4.1532,1.1628,-0.3000,264.03,30,16,4,0.6000,0.4469,0.4469,4,0,1,0.9735,1.0000,12,3,5,1
48,3839904,5.6180,1597.7,49,-0.02361,0.00093,1.2033,0.05896,0.9022,0.0000,4.4778,1.5483,-0.4082,262.16,34,10,5,0.6939,0.4560,0.4560,4,0,1,0.9595,0.8571,7,3,5,1
49,3919902,5.7207,1673.0,47,-0.03186,0.00084,1.3336,0.05940,0.9067,0.0000,4.2449,1.2630,0.2128,264.65,34,5,8,0.7234,0.4643,0.4643,4,0,0,0.9636,1.0000,13,3,5,1
50,3999900,5.7485,1710.0,47,-0.05342,0.00142,1.1273,0.05901,0.9394,0.0000,4.6081,1.0340,0.1064,303.70,34,8,5,0.7234,0.4678,0.4678,4,0,0,0.9601,0.9333,15,3,5,1
51,4079898,6.3999,1667.3,49,-0.03801,0.00065,1.1248,0.05476,0.9398,0.0000,4.3373,2.0625,0.0000,242.11,31,10,8,0.6327,0.4648,0.4648,4,0,0,0.9641,1.0000,7,3,5,1
52,4159896,5.4960,1640.4,48,-0.01536,0.00117,1.0391,0.05809,0.9264,0.0000,4.8184,0.8859,-0.2083,241.90,34,11,3,0.7083,0.4722,0.4722,4,0,1,0.9614,0.9091,11,3,5,1
53,4239894,5.1195,1613.8,51,-0.03942,0.00188,0.9549,0.06227,0.8625,0.0000,4.3545,1.0591,-0.2941,253.18,33,9,9,0.6471,0.4701,0.4701,4,0,1,0.9653,1.0000,10,3,5,1
54,4319892,6.5967,1628.8,50,-0.04042,0.00169,1.1829,0.06014,0.9081,0.0000,4.7265,2.0702,-0.2000,258.26,36,10,4,0.7200,0.4773,0.4773,4,0,1,0.9687,1.0000,13,3,5,1
55,4399890,3.6299,1688.2,45,-0.03431,0.00074,1.1251,0.05877,0.8480,0.0000,3.7625,1.2007,-1.3333,256.31,25,12,8,0.5556,0.4695,0.4695,4,0,3,0.9419,0.6250,8,3,5,1
56,4479888,4.8333,1661.8,48,-0.00420,0.00105,1.0179,0.05356,0.9473,0.0000,3.5561,1.2773,0.0000,255.84,28,11,9,0.5833,0.4559,0.4559,4,0,0,0.9268,0.8000,10,3,5,1
57,4559886,5.6240,1593.1,52,-0.03460,0.00185,1.2526,0.05857,0.9184,0.0000,4.1784,1.6379,-0.1923,277.83,35,10,7,0.6731,0.4495,0.4495,4,0,1,0.9342,1.0000,9,3,5,1
58,4639884,3.9684,1649.9,48,-0.02792,0.00097,1.1365,0.05430,0.9146,0.0000,3.3387,0.2131,0.4167,263.68,32,13,3,0.6667,0.4503,0.4503,4,0,0,0.9307,0.9333,15,2,5,1
59,4719882,6.7626,1554.9,51,-0.01541,0.00181,1.1601,0.05582,0.9385,0.0000,5.5468,1.6080,-0.3922,270.68,37,10,4,0.7255,0.4573,0.4573,4,0,1,0.9293,0.8889,9,3,5,1
60,4799880,5.9464,1626.1,48,-0.02964,0.00320,1.2395,0.05996,0.8914,0.0000,4.8265,1.5366,-0.4167,260.13,31,14,3,0.6458,0.4556,0.4556,4,0,1,0.9239,0.8750,8,3,5,1
61,4879878,5.7725,1698.6,49,-0.03803,0.00101,1.0794,0.05979,0.9382,0.0000,4.7493,1.0233,0.0000,258.56,34,10,5,0.6939,0.4562,0.4562,4,0,0,0.9253,0.9333,15,3,5,1
62,4959876,8.1444,1638.8,49,-0.02653,0.00061,1.3024,0.05753,0.9161,0.0000,5.7480,2.2944,0.1020,328.75,38,6,5,0.7755,0.4606,0.4606,4,0,0,0.9265,0.9412,17,3,5,1
63,5039874,5.1926,1713.8,46,-0.04702,0.00117,1.1440,0.05727,0.9306,0.0000,4.5188,1.1086,-0.4348,283.68,35,8,3,0.7609,0.4710,0.4710,4,0,1,0.9213,0.9000,10,3,5,1
64,5119872,8.0561,1573.7,49,0.00955,0.00157,1.0041,0.05822,0.9250,0.0000,5.9923,2.0638,0.0000,279.81,39,5,5,0.7959,0.4830,0.4830,4,0,0,0.9292,1.0000,15,3,5,1
65,5199870,5.4717,1597.3,51,-0.03696,0.00075,1.0327,0.05900,0.9281,0.0000,4.5249,1.3390,-0.3922,258.12,33,12,6,0.6471,0.4792,0.4792,4,0,1,0.9291,0.9167,12,3,5,1
66,5279868,5.7287,1579.5,52,-0.01681,0.00132,1.1319,0.06047,0.9183,0.0000,4.8450,1.2684,-0.3846,277.95,35,11,6,0.6731,0.4598,0.4598,4,0,1,0.9362,1.0000,15,3,5,1
67,5359866,6.8296,1599.4,49,-0.03958,0.00111,1.0404,0.05927,0.9394,0.0000,5.4244,1.3032,0.1020,252.23,39,5,5,0.7959,0.4778,0.4778,4,0,0,0.9426,1.0000,11,3,5,1
68,5439864,4.6928,1613.8,49,-0.04849,0.00153,1.2038,0.05704,0.8894,0.0000,4.5119,1.3033,-1.1224,290.55,32,14,3,0.6531,0.4664,0.4664,4,0,3,0.9421,0.9286,14,3,5,1
69,5519862,6.0434,1668.8,48,-0.02625,0.00153,1.1882,0.06418,0.8890,0.0000,4.7718,1.5841,-0.3125,273.28,35,5,8,0.7292,0.4733,0.4733,4,0,1,0.9479,1.0000,10,3,5,1
70,5599860,6.3821,1689.2,49,-0.03690,0.00216,1.0485,0.05768,0.9390,0.0000,4.7196,1.5605,0.1020,273.52,37,9,3,0.7551,0.4843,0.4843,4,0,0,0.9431,0.9167,12,3,5,1
71,5679858,6.9251,1520.7,50,-0.02171,0.00198,1.1278,0.05748,0.9463,0.0000,5.5332,1.7919,-0.4000,271.61,38,7,5,0.7600,0.4959,0.4959,4,0,1,0.9438,0.9444,18,3,5,1
72,5759856,6.1723,1669.3,48,-0.01922,0.00175,1.1761,0.05930,0.9468,0.0000,4.6536,1.5187,0.0000,282.99,36,10,2,0.7500,0.5046,0.5046,4,0,0,0.9394,0.9167,12,3,5,1
73,5839854,5.3706,1709.7,48,-0.02322,0.00093,1.1526,0.05616,0.9332,0.0000,4.0662,1.3044,0.0000,279.76,32,12,4,0.6667,0.5022,0.5022,4,0,0,0.9455,1.0000,13,3,5,1
74,5919852,6.1410,1549.7,52,-0.03175,0.00099,1.1996,0.05785,0.9178,0.0000,4.7174,1.7120,-0.2885,277.74,35,10,7,0.6731,0.5040,0.5040,4,0,1,0.9409,0.9167,12,3,5,1
75,5999850,5.7078,1690.2,47,0.00945,0.00146,1.0446,0.05495,0.9274,0.0000,5.1377,0.4637,0.1064,241.41,37,6,4,0.7872,0.5161,0.5161,4,0,0,0.9468,1.0000,13,3,5,1
76,6079848,6.2769,1761.3,46,-0.01785,0.00088,1.0624,0.06110,0.9415,0.0000,4.6092,1.6677,0.0000,255.38,34,9,3,0.7391,0.5183,0.5183,4,0,0,0.9521,1.0000,11,3,5,1
77,6159846,5.0436,1704.3,45,-0.02944,0.00093,1.0522,0.05830,0.9274,0.0000,4.1923,0.7401,0.1111,247.85,32,6,7,0.7111,0.5203,0.5203,4,0,0,0.9569,1.0000,6,3,5,1
78,6239844,4.5998,1685.8,48,-0.02597,0.00058,0.9540,0.05798,0.9542,0.0000,3.5322,0.9634,0.1042,295.55,29,8,11,0.6042,0.4975,0.4975,4,0,0,0.9612,1.0000,14,3,5,1
79,6319842,6.6179,1676.6,48,-0.02019,0.00139,1.2551,0.05990,0.9346,0.0000,5.2309,1.6995,-0.3125,263.47,34,9,5,0.7083,0.4977,0.4977,4,0,1,0.9651,1.0000,12,3,5,1
80,6399840,5.9835,1760.2,46,-0.02637,0.00081,1.0503,0.05428,0.9125,0.0000,4.6034,1.2714,0.1087,279.56,34,5,7,0.7391,0.4958,0.4958,4,0,0,0.9686,1.0000,13,3,5,1
81,6479838,5.1245,1434.9,54,-0.03280,0.00115,1.1173,0.05763,0.9136,0.0000,4.2424,1.0673,-0.1852,255.47,36,12,6,0.6667,0.5000,0.5000,4,0,1,0.9655,0.9286,14,3,5,1
82,6559836,6.9494,1586.6,53,-0.01145,0.00086,1.0409,0.05916,0.9457,0.0000,5.3380,1.6114,0.0000,251.67,37,12,4,0.6981,0.4962,0.4962,4,0,0,0.9689,1.0000,10,3,5,1
83,6639834,5.2652,1639.3,47,-0.02695,0.00111,1.0715,0.05953,0.9267,0.0000,4.9058,0.5722,-0.2128,249.75,34,9,4,0.7234,0.4900,0.4900,4,0,1,0.9720,1.0000,15,3,5,1
84,6719832,4.1148,1730.0,48,-0.01981,0.00100,1.0952,0.05712,0.9336,0.0000,3.4321,0.9952,-0.3125,233.77,28,15,5,0.5833,0.4810,0.4810,4,0,1,0.9665,0.9000,10,3,5,1
85,6799830,4.3600,1696.2,45,-0.04110,0.00155,1.1015,0.05692,0.9486,0.0000,3.3479,0.5677,0.4444,263.09,29,10,6,0.6444,0.4746,0.4746,4,0,0,0.9615,0.9375,16,3,5,1
86,6879828,5.8423,1610.0,51,-0.02032,0.00108,1.0496,0.05935,0.9235,0.0000,4.5034,1.2409,0.0980,282.33,35,12,4,0.6863,0.4635,0.4635,4,0,0,0.9654,1.0000,12,3,5,1
