cycle,global_step,grad_steps,achieved_utd,mean_return,mean_length,completed_episodes,ep_damage,ep_shaping,ep_terminal,win,loss,draw,raw_win_rate,altitude_term,bt_win_rate,bt_games,pool_size,opp_added,q_loss,actor_loss,alpha,alpha_loss,policy_entropy,q_mean,q_ensemble_std,q_pessimism,td_target_mean,explained_variance,buffer_size,buffer_age_p50,buffer_age_p90,buffer_bt_frac,elapsed_sec
1,1998,0,0.000,nan,nan,0,nan,nan,nan,0,0,0,nan,0,nan,0,2,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1998,1166,1998,1.000,3.81
2,3996,0,0.000,-21.3844,398.8,6,-0.1241,-1.2603,-20.0000,0,6,0,0.0000,6,0.0000,6,2,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3996,2164,3663,0.732,4.11
3,5994,0,0.000,-18.2606,378.5,6,-0.0413,-2.3860,-15.8333,1,5,0,0.1667,5,0.0000,2,2,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5994,3164,5661,0.642,4.25
4,7992,0,0.000,-22.2422,382.5,6,0.0000,-2.2422,-20.0000,0,6,0,0.0000,6,0.0000,3,2,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7992,4162,7326,0.617,4.17
5,9990,0,0.000,-22.3130,377.0,6,-0.1178,-2.1952,-20.0000,0,6,0,0.0000,6,0.0000,4,2,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9990,5162,9024,0.615,4.14
6,11988,10000,0.834,-6.0967,371.7,3,0.0000,-2.7634,-3.3333,2,1,0,0.6667,1,0.0000,1,2,0,0.04462,-8.08759,0.03212,-15.967663,10.5838,1.8725,0.04516,0.07215,1.8709,0.9030,11988,6160,10989,0.633,294.36
7,13986,20000,1.430,-17.2946,447.2,5,-0.0082,-2.2864,-15.0000,1,4,0,0.2000,4,0.0000,4,2,0,0.02125,-8.50957,0.00552,-0.701427,6.2257,2.0442,0.04021,0.06443,2.0441,0.9940,13986,7160,12654,0.626,288.98
8,15984,30000,1.877,-17.0075,428.8,5,-0.1074,-1.9002,-15.0000,1,4,0,0.2000,4,0.0000,3,2,0,0.01647,-6.54901,0.00573,0.020677,6.0850,1.5579,0.04189,0.06697,1.5578,0.9974,15984,8158,14652,0.626,294.04
9,17982,40000,2.224,-12.3997,410.2,5,-0.0921,-2.3076,-10.0000,2,3,0,0.4000,3,0.0000,3,2,0,0.01890,-4.21702,0.00571,0.001565,6.0888,0.9816,0.04185,0.06653,0.9815,0.9977,17982,9158,16317,0.610,288.98
10,19980,50000,2.503,-14.1814,406.3,6,-0.3311,-2.1836,-11.6667,2,4,0,0.3333,4,0.0000,2,2,0,0.01355,-1.42293,0.00496,-0.093656,6.1069,0.3001,0.04087,0.06488,0.3000,0.9988,19980,10156,18015,0.610,287.37
