iteration,global_step,mean_return,mean_length,completed_episodes,policy_loss,value_loss,entropy,approx_kl,explained_variance,ep_pursuit,ep_damage,ep_distance,ep_aim,ep_terminal,elapsed_sec,win,loss,draw,raw_win_rate,ema_mean,ema_min,pool_size,opp_added,altitude_term
1,49998,-22.0644,419.0,117,0.03490,0.65007,6.8107,0.05925,-0.2074,0.0000,-0.0014,-13.9091,0.0000,-8.1538,112.88,66,51,0,0.5641,0.5032,0.5032,1,0,51
2,99996,-24.6294,406.7,123,-0.01363,0.11252,6.7627,0.03226,0.7394,0.0000,0.0018,-11.4605,-0.0000,-13.1707,117.45,40,83,0,0.3252,0.4943,0.4943,1,0,83
3,149994,-24.9460,419.1,119,-0.03852,0.14987,6.7631,0.03231,0.8930,0.0000,0.0133,-12.1946,0.0000,-12.7647,115.46,41,78,0,0.3445,0.4868,0.4868,1,0,78
4,199992,-23.6242,414.3,121,-0.01254,0.10394,6.7554,0.03494,0.9144,0.0000,-0.0017,-12.1267,-0.0000,-11.4959,111.46,49,72,0,0.4050,0.4827,0.4827,1,0,72
5,249990,-23.6840,423.6,117,-0.01009,0.07088,6.7172,0.03465,0.9248,0.0000,0.0001,-13.0174,-0.0000,-10.6667,110.50,52,65,0,0.4444,0.4808,0.4808,1,0,65
6,299988,-22.3733,427.6,116,-0.02474,0.07620,6.6828,0.03275,0.9432,0.0000,0.0058,-13.6032,0.0000,-8.7759,109.76,62,54,0,0.5345,0.4835,0.4835,1,0,54
7,349986,-21.4975,436.5,116,-0.00979,0.02901,6.6982,0.03299,0.9531,0.0000,-0.0006,-14.3504,0.0000,-7.1466,110.20,71,45,0,0.6121,0.4899,0.4899,1,0,45
8,399984,-20.2575,434.6,116,-0.03512,0.03805,6.6364,0.03277,0.9463,0.0000,0.0069,-14.0230,0.0000,-6.2414,111.20,76,40,0,0.6552,0.4982,0.4982,1,0,40
9,449982,-21.9397,437.0,113,-0.02208,0.05179,6.6319,0.03439,0.9459,0.0000,-0.0068,-14.1983,-0.0000,-7.7345,111.72,66,47,0,0.5841,0.5025,0.5025,1,0,47
10,499980,-20.0557,445.7,113,-0.00324,0.02497,6.5956,0.03504,0.9409,0.0000,0.0082,-14.7453,-0.0000,-5.3186,110.05,79,34,0,0.6991,0.5123,0.5123,1,0,34
11,549978,-19.8464,440.9,113,-0.01750,0.02367,6.5708,0.03594,0.9446,0.0000,0.0000,-14.3420,-0.0000,-5.5044,110.52,78,35,0,0.6903,0.5212,0.5212,1,0,35
12,599976,-19.8124,436.6,115,-0.03474,0.03233,6.5778,0.03339,0.9504,0.0000,0.0078,-13.8810,0.0000,-5.9391,113.00,77,38,0,0.6696,0.5286,0.5286,1,0,38
13,649974,-18.4125,442.8,113,-0.02650,0.01523,6.5074,0.03280,0.9551,0.0000,0.0112,-14.4060,0.0000,-4.0177,109.44,86,27,0,0.7611,0.5402,0.5402,1,0,27
14,699972,-19.7583,444.7,112,-0.02094,0.01319,6.5138,0.03653,0.9256,0.0000,0.0127,-14.3960,-0.0000,-5.3750,105.17,78,34,0,0.6964,0.5481,0.5481,1,0,34
15,749970,-19.6015,443.1,112,-0.02215,0.05061,6.4656,0.03197,0.9551,0.0000,0.0080,-13.8595,-0.0000,-5.7500,106.01,76,36,0,0.6786,0.5546,0.5546,1,0,36
16,799968,-16.8279,450.6,112,-0.02325,0.00938,6.4248,0.03322,0.9291,0.0000,0.0019,-13.8923,-0.0000,-2.9375,104.16,91,21,0,0.8125,0.5675,0.5675,1,0,21
17,849966,-18.9223,444.8,112,-0.02106,0.01724,6.4025,0.03359,0.9446,0.0000,0.0050,-13.5523,-0.0000,-5.3750,104.42,78,34,0,0.6964,0.5739,0.5739,1,0,34
18,899964,-21.0075,461.1,108,-0.01790,0.01819,6.4147,0.03180,0.9525,0.0000,0.0001,-14.4243,-0.0000,-6.5833,107.38,69,39,0,0.6389,0.5772,0.5772,1,0,39
19,949962,-18.2714,446.0,112,-0.02166,0.01201,6.3713,0.03224,0.9676,0.0000,0.0028,-13.4616,0.0000,-4.8125,110.00,81,31,0,0.7232,0.5845,0.5845,1,0,31
20,999960,-16.8972,459.6,108,-0.02225,0.00961,6.3476,0.03044,0.9538,0.0000,-0.0001,-14.3971,0.0000,-2.5000,107.88,90,18,0,0.8333,0.5969,0.5969,1,0,18
21,1049958,-16.8454,459.6,109,-0.01386,0.00817,6.3560,0.03138,0.9539,0.0000,0.0142,-14.1990,-0.0000,-2.6606,105.54,90,19,0,0.8257,0.5542,0.5000,2,1,19
22,1099956,-19.6383,445.6,110,-0.03364,0.01485,6.3015,0.03075,0.9614,0.0000,-0.0037,-12.4256,0.0000,-7.2091,105.79,67,43,0,0.6091,0.5576,0.4996,2,0,43
23,1149954,-17.6116,454.3,110,-0.03308,0.02376,6.2550,0.03218,0.9378,0.0000,0.0020,-12.5045,-0.0000,-5.1091,105.94,78,32,0,0.7091,0.5662,0.5051,2,0,32
24,1199952,-16.5354,450.6,110,-0.03263,0.00816,6.3001,0.03116,0.9596,0.0000,0.0134,-12.0125,-0.0000,-4.5364,106.72,81,29,0,0.7364,0.5754,0.5124,2,0,29
25,1249950,-17.0177,456.7,109,-0.03466,0.00569,6.3129,0.03143,0.9742,0.0000,0.0074,-12.4379,0.0000,-4.5872,106.20,80,29,0,0.7339,0.5847,0.5186,2,0,29
26,1299948,-16.4491,454.0,112,-0.02047,0.01061,6.2746,0.03240,0.9520,0.0000,-0.0015,-11.8226,-0.0000,-4.6250,106.20,82,30,0,0.7321,0.5930,0.5260,2,0,30
27,1349946,-13.6147,476.0,104,-0.01902,0.00546,6.2449,0.03030,0.9707,0.0000,0.0039,-11.7917,0.0000,-1.8269,99.50,90,14,0,0.8654,0.6071,0.5405,2,0,14
28,1399944,-12.8224,460.5,108,-0.01573,0.00371,6.1981,0.03138,0.9546,0.0000,-0.0022,-10.5146,-0.0000,-2.3056,99.71,91,17,0,0.8426,0.6201,0.5529,2,0,17
29,1449942,-11.7242,464.6,107,-0.02183,0.00327,6.2425,0.03096,0.9740,0.0000,-0.0020,-10.1708,0.0000,-1.5514,99.30,94,13,0,0.8785,0.6335,0.5678,2,0,13
30,1499940,-10.3398,485.3,104,-0.01371,0.00270,6.1365,0.02955,0.9526,0.0000,-0.0084,-10.1102,0.0000,-0.2212,99.68,97,6,1,0.9327,0.6487,0.5843,2,0,6
31,1549938,-9.7781,470.5,107,-0.03149,0.00368,6.1302,0.02965,0.9665,0.0000,0.0225,-9.6230,-0.0000,-0.1776,98.86,101,6,0,0.9439,0.6090,0.5000,3,1,6
32,1599936,-12.0482,476.7,99,-0.01046,0.01003,6.0484,0.02831,0.9645,0.0000,-0.0000,-7.5330,0.0000,-4.5152,100.36,73,26,0,0.7374,0.6195,0.5015,3,0,26
33,1649934,-12.5423,528.9,95,-0.02918,0.01127,6.0025,0.02906,0.9684,0.0000,0.0066,-8.6751,-0.0000,-3.8737,99.86,72,22,1,0.7579,0.6291,0.5025,3,0,22
34,1699932,-11.3854,508.5,101,-0.02168,0.00357,6.0108,0.02822,0.9762,0.0000,0.0143,-7.8254,-0.0000,-3.5743,103.83,79,22,0,0.7822,0.6391,0.5072,3,0,22
35,1749930,-9.1392,485.9,101,-0.02104,0.00429,6.0365,0.02804,0.9520,0.0000,0.0109,-6.4075,-0.0000,-2.7426,99.49,83,18,0,0.8218,0.6514,0.5145,3,0,18
36,1799928,-9.7222,471.4,107,-0.01567,0.00629,5.9335,0.02744,0.9669,0.0000,0.0150,-6.6157,0.0000,-3.1215,99.92,86,21,0,0.8037,0.6617,0.5235,3,0,21
37,1849926,-9.3342,501.0,99,-0.02015,0.00653,5.9617,0.02962,0.9591,0.0000,0.0020,-6.0942,0.0004,-3.2424,99.83,79,20,0,0.7980,0.6716,0.5301,3,0,20
38,1899924,-7.2176,483.9,105,-0.01300,0.00276,5.8880,0.02877,0.9675,0.0000,-0.0020,-5.2156,-0.0000,-2.0000,99.76,90,15,0,0.8571,0.6830,0.5401,3,0,15
39,1949922,-7.0879,514.7,98,-0.02007,0.00269,5.8868,0.02975,0.9567,0.0000,0.0336,-4.9081,0.0009,-2.2143,99.52,83,15,0,0.8469,0.6916,0.5509,3,0,15
40,1999920,-6.0547,538.1,91,-0.02250,0.00780,5.8082,0.02809,0.9396,0.0000,0.0306,-4.5484,0.0015,-1.5385,100.36,80,11,0,0.8791,0.7016,0.5664,3,0,11
41,2049918,-4.9643,504.1,99,-0.01577,0.00218,5.8121,0.02900,0.9708,0.0000,-0.0069,-4.0487,0.0004,-0.9091,106.22,90,9,0,0.9091,0.7130,0.5805,3,0,9
42,2099916,-4.6617,534.2,94,-0.01798,0.00154,5.8325,0.02485,0.9584,0.0000,0.0000,-3.8644,0.0006,-0.7979,104.92,85,8,1,0.9043,0.7230,0.5922,3,0,8
43,2149914,-3.8461,517.7,98,-0.00184,0.00257,5.7642,0.02888,0.9303,0.0000,0.0147,-2.9322,-0.0000,-0.9286,103.60,89,9,0,0.9082,0.6743,0.5000,4,1,9
44,2199912,-6.7692,536.1,91,-0.03229,0.00559,5.7070,0.02824,0.9642,0.0000,0.0066,-2.4463,0.0002,-4.3297,99.24,66,23,2,0.7253,0.6807,0.4986,4,0,23
45,2249910,-4.5694,568.5,87,-0.02870,0.00478,5.7185,0.02885,0.9740,0.0000,0.0092,-1.9357,0.0008,-2.6437,98.51,70,15,2,0.8046,0.6890,0.5027,4,0,15
46,2299908,-4.5521,589.8,82,-0.02310,0.00981,5.7203,0.02850,0.9579,0.0000,-0.0069,-1.9389,0.0035,-2.6098,98.76,66,14,2,0.8049,0.6960,0.5069,4,0,14
47,2349906,-4.5920,627.5,82,0.00364,0.01003,5.6947,0.02895,0.9556,0.0000,0.0027,-1.7123,0.0078,-2.8902,99.11,63,15,4,0.7683,0.7038,0.5092,4,0,15
48,2399904,-3.7580,641.8,76,-0.01367,0.00203,5.7095,0.02715,0.9606,0.0000,0.0079,-0.8610,0.0030,-2.9079,98.93,59,14,3,0.7763,0.7125,0.5094,4,0,14
49,2449902,-3.6574,673.5,77,-0.03133,0.00545,5.7323,0.02708,0.9570,0.0000,0.0178,-0.8237,0.0056,-2.8571,98.37,60,14,3,0.7792,0.7188,0.5123,4,0,14
50,2499900,-2.5566,540.8,88,-0.03384,0.00283,5.6777,0.02866,0.9777,0.0000,0.0069,-0.7053,0.0054,-1.8636,99.66,76,12,0,0.8636,0.7287,0.5262,4,0,12
51,2549898,-1.6132,636.1,81,-0.01196,0.03938,5.6375,0.02462,0.9193,0.0000,0.0155,-0.5365,0.0066,-1.0988,99.38,71,8,2,0.8765,0.7390,0.5367,4,0,8
52,2599896,-2.4996,676.3,73,-0.01492,0.00337,5.5764,0.02741,0.9364,0.0000,-0.0218,-1.1411,0.0058,-1.3425,100.50,62,8,3,0.8493,0.7467,0.5458,4,0,8
53,2649894,-1.1192,619.4,83,-0.02081,0.00318,5.5677,0.02838,0.9677,0.0000,0.0440,-0.6307,0.0096,-0.5422,99.65,75,6,2,0.9036,0.7556,0.5605,4,0,6
54,2699892,-1.3193,535.5,92,0.01658,0.00697,5.5812,0.02565,0.9512,0.0000,0.0006,-0.0380,0.0116,-1.2935,99.53,81,10,1,0.8804,0.7648,0.5702,4,0,10
55,2749890,-0.8181,660.6,73,-0.01410,0.00122,5.6290,0.02636,0.9746,0.0000,-0.0050,0.2486,0.0068,-1.0685,99.22,62,7,4,0.8493,0.7706,0.5772,4,0,7
56,2799888,0.1753,589.3,87,-0.02723,0.00172,5.5657,0.02802,0.9514,0.0000,-0.0080,0.3805,0.0213,-0.2184,98.92,81,5,1,0.9310,0.7791,0.5891,4,0,5
57,2849886,1.0677,523.6,97,-0.01981,0.00152,5.5301,0.02632,0.9692,0.0000,-0.0061,0.3044,0.0064,0.7629,99.79,94,1,2,0.9691,0.7314,0.5000,5,1,1
58,2899884,-1.1495,716.4,64,-0.02148,0.00178,5.5676,0.02710,0.9662,0.0000,-0.0091,0.8627,0.0125,-2.0156,99.10,51,9,4,0.7969,0.7383,0.5000,5,0,9
59,2949882,-1.0823,817.8,62,-0.01890,0.00198,5.6232,0.02762,0.8978,0.0000,0.0130,1.3153,0.0410,-2.4516,98.87,48,10,4,0.7742,0.7449,0.5030,5,0,10
60,2999880,-1.1517,659.2,74,-0.00640,0.00716,5.5492,0.02567,0.9074,0.0000,0.0185,1.2063,0.0289,-2.4054,98.30,62,12,0,0.8378,0.7535,0.5072,5,0,12
61,3049878,-2.4540,807.0,63,-0.00747,0.00790,5.5778,0.02626,0.8911,0.0000,0.0160,1.5643,0.0450,-4.0794,98.69,43,16,4,0.6825,0.7568,0.5068,5,0,15
62,3099876,-0.5683,681.1,74,-0.03239,0.00241,5.5420,0.02894,0.9404,0.0000,0.0636,1.4520,0.0377,-2.1216,99.00,63,11,0,0.8514,0.7646,0.5165,5,0,11
63,3149874,-0.7290,746.2,67,-0.02770,0.00233,5.5088,0.02616,0.9453,0.0000,0.0045,1.7239,0.0501,-2.5075,98.82,53,11,3,0.7910,0.7700,0.5229,5,0,11
64,3199872,-1.3058,660.7,73,-0.02416,0.00165,5.4615,0.02680,0.9395,0.0000,0.0164,1.6878,0.0448,-3.0548,99.07,57,14,2,0.7808,0.7715,0.5338,5,0,14
65,3249870,-1.4228,649.1,82,-0.02092,0.00746,5.3590,0.02864,0.9002,0.0000,-0.0051,1.6738,0.0427,-3.1341,99.11,64,16,2,0.7805,0.7767,0.5355,5,0,16
66,3299868,0.1967,678.1,73,-0.01193,0.00209,5.4591,0.02687,0.9357,0.0000,0.0086,1.7363,0.0545,-1.6027,103.62,64,9,0,0.8767,0.7843,0.5450,5,0,9
67,3349866,-0.7485,678.3,72,-0.02190,0.00274,5.4211,0.02584,0.9048,0.0000,0.0123,2.0075,0.0650,-2.8333,99.42,56,14,2,0.7778,0.7882,0.5481,5,0,13
