iteration,global_step,mean_return,mean_length,completed_episodes,policy_loss,value_loss,entropy,approx_kl,explained_variance,ep_pursuit,ep_damage,ep_distance,ep_terminal,elapsed_sec
1,99996,-11.7841,391.1,252,0.02234,0.20000,6.9769,0.01206,0.6375,0.0000,-0.0019,-11.7822,0.0000,123.65
2,199992,-10.3814,374.6,269,-0.00301,0.17515,7.1739,0.01183,0.5409,0.0000,0.0019,-9.7514,-0.6320,119.43
3,299988,-11.9754,410.9,241,-0.02059,0.10445,7.2241,0.01184,0.6450,0.0000,-0.0002,-12.0168,0.0415,117.78
4,399984,-14.8511,475.8,211,-0.00817,0.10350,7.1143,0.01202,0.6862,0.0000,0.0063,-14.9048,0.0474,116.82
5,499980,-17.3640,525.4,190,-0.00056,0.12477,7.1526,0.01106,0.7539,0.0000,0.0000,-16.8377,-0.5263,116.20
6,599976,-21.8796,706.7,136,0.00328,0.12013,7.1397,0.01231,0.8029,0.0000,-0.0050,-21.1393,-0.7353,115.13
7,699972,-25.1617,905.0,112,0.00395,0.03787,7.0867,0.01190,0.8427,0.0000,0.0011,-24.4485,-0.7143,115.03
8,799968,-25.5098,1059.9,94,0.00378,0.02598,7.0419,0.01209,0.8570,0.0000,0.0030,-24.1298,-1.3830,114.27
9,899964,-29.5978,1314.3,74,0.02018,0.00445,7.1171,0.01131,0.8937,0.0000,0.0000,-28.7870,-0.8108,113.89
10,999960,-27.1651,1567.0,64,-0.00246,0.00322,7.0831,0.01119,0.9154,0.0000,0.0005,-27.9469,0.7812,114.45
11,1099956,-24.3672,1670.5,56,-0.00544,0.00152,7.0483,0.01132,0.9228,0.0000,0.0000,-24.5458,0.1786,112.97
12,1199952,-20.5990,1786.4,57,0.01081,0.00770,7.0329,0.01086,0.9412,0.0000,0.0041,-20.6032,0.0000,113.06
13,1299948,-18.1503,1761.4,56,-0.00366,0.00623,6.9777,0.01074,0.9265,0.0000,-0.0032,-17.9685,-0.1786,113.15
14,1399944,-19.7428,1831.8,54,0.00886,0.00094,6.9689,0.01086,0.9407,0.0000,0.0000,-20.4835,0.7407,114.30
15,1499940,-15.2223,1635.0,61,0.00661,0.00154,6.9785,0.01106,0.9155,0.0000,-0.0031,-14.8914,-0.3279,114.29
16,1599936,-14.1944,1720.6,55,0.01471,0.00215,6.9245,0.01064,0.9468,0.0000,0.0170,-11.8477,-2.3636,113.35
17,1699932,-9.5311,1639.6,61,-0.00727,0.00254,6.9378,0.01062,0.8913,0.0000,-0.0000,-8.8754,-0.6557,113.33
18,1799928,-9.3620,1688.1,60,0.00456,0.10134,6.8949,0.01015,0.9075,0.0000,0.0000,-9.3620,0.0000,113.24
19,1899924,-9.5894,1801.3,55,-0.00879,0.01357,6.8897,0.01078,0.9363,0.0000,-0.0122,-7.7590,-1.8182,113.55
20,1999920,-4.9470,1793.4,54,-0.01358,0.02392,6.8563,0.00994,0.9369,0.0000,-0.0001,-4.9469,0.0000,113.38
21,2099916,-1.9210,1923.1,50,0.01347,0.00324,6.8650,0.00998,0.9440,0.0000,0.0054,-3.1264,1.2000,113.26
22,2199912,-3.4944,1964.1,48,-0.00965,0.00232,6.8293,0.00917,0.9436,0.0000,0.0000,-3.7027,0.2083,113.30
23,2299908,-1.0684,1943.5,54,0.02468,0.00298,6.8165,0.00958,0.9495,0.0000,0.0000,-1.2536,0.1852,113.51
24,2399904,0.9922,1963.6,50,-0.01496,0.00286,6.7886,0.00946,0.9421,0.0000,-0.0001,0.5923,0.4000,113.06
25,2499900,-0.8314,1943.7,52,0.00050,0.00335,6.7689,0.00878,0.9431,0.0000,0.0152,-0.8466,0.0000,114.02
26,2599896,0.9629,2000.0,48,-0.00355,0.00367,6.7937,0.00871,0.9577,0.0000,-0.0042,0.9671,0.0000,113.77
27,2699892,0.6716,1965.9,49,0.00151,0.00453,6.7580,0.00910,0.9476,0.0000,0.0038,0.6678,0.0000,113.51
28,2799888,0.8447,1971.2,50,-0.00609,0.00253,6.7223,0.00891,0.9384,0.0000,0.0032,0.4415,0.4000,113.13
29,2899884,1.7322,1937.3,53,-0.00477,0.00223,6.7273,0.00876,0.9293,0.0000,0.0136,1.3412,0.3774,113.79
30,2999880,1.1457,1979.6,51,-0.00701,0.00222,6.7264,0.00894,0.9602,0.0000,-0.0014,1.3431,-0.1961,114.02
31,3099876,2.1367,1988.5,48,-0.00710,0.00220,6.6617,0.00888,0.9496,0.0000,0.0066,2.1300,0.0000,113.50
32,3199872,1.3967,2000.0,48,-0.01173,0.00193,6.6258,0.00864,0.9613,0.0000,0.0678,1.3289,0.0000,113.63
33,3299868,1.7288,1996.3,50,0.00795,0.00162,6.6039,0.00867,0.9544,0.0000,-0.0112,1.5400,0.2000,113.16
34,3399864,1.8607,2000.0,52,-0.01423,0.00197,6.6209,0.00860,0.9659,0.0000,-0.0076,1.8683,0.0000,113.27
35,3499860,1.1038,1983.3,49,-0.00355,0.00165,6.5711,0.00881,0.9609,0.0000,-0.0002,1.3081,-0.2041,113.09
