iteration,global_step,mean_return,mean_length,completed_episodes,policy_loss,value_loss,entropy,approx_kl,explained_variance,ep_pursuit,ep_damage,ep_distance,ep_aim,ep_terminal,elapsed_sec,win,loss,draw,raw_win_rate,ema_win_rate,opp_promoted
1,99996,-9.5236,367.0,270,-0.00003,0.24784,7.3062,0.02684,0.0551,0.0000,0.0017,-9.7475,-0.0000,0.2222,145.10,138,132,0,0.5111,0.5006,0
2,199992,-7.7907,372.4,267,-0.00718,0.18380,6.9914,0.02407,0.6035,0.0000,0.0011,-9.9266,-0.0000,2.1348,152.08,162,105,0,0.6067,0.5059,0
3,299988,-10.1369,366.5,273,0.01891,0.09516,6.9891,0.02391,0.7854,0.0000,0.0124,-9.4533,0.0000,-0.6960,142.12,127,146,0,0.4652,0.5038,0
4,399984,-9.3157,369.4,271,-0.00829,0.64721,7.0143,0.02503,0.8597,0.0000,0.0094,-9.7309,0.0000,0.4059,145.67,141,130,0,0.5203,0.5047,0
5,499980,-7.9453,369.6,271,0.01510,0.10814,6.9390,0.02370,0.9136,0.0000,0.0054,-9.7588,-0.0000,1.8081,145.78,160,111,0,0.5904,0.5089,0
6,599976,-8.0156,373.5,268,0.02308,0.03299,6.9728,0.02432,0.9275,0.0000,0.0091,-9.8903,-0.0000,1.8657,137.78,159,109,0,0.5933,0.5132,0
7,699972,-7.9752,369.7,271,0.01676,0.05156,6.9552,0.02611,0.9414,0.0000,0.0071,-9.7166,-0.0000,1.7343,138.11,159,112,0,0.5867,0.5168,0
8,799968,-6.4610,373.0,268,-0.01420,0.04657,6.9143,0.02580,0.9404,0.0000,0.0111,-9.9796,-0.0000,3.5075,137.52,181,87,0,0.6754,0.5248,0
9,899964,-3.3678,380.5,261,-0.02090,0.21042,6.8833,0.02813,0.9362,0.0000,0.0200,-10.7825,-0.0000,7.3946,137.24,227,34,0,0.8697,0.5420,0
10,999960,-4.9885,380.5,263,-0.00624,0.13886,6.8398,0.02698,0.9368,0.0000,0.0041,-10.5819,-0.0000,5.5894,137.39,205,58,0,0.7795,0.5539,0
11,1099956,-2.7475,381.9,263,-0.03212,0.07885,6.7759,0.02615,0.9406,0.0000,0.0058,-10.7762,-0.0000,8.0228,138.18,237,26,0,0.9011,0.5712,0
12,1199952,-2.8043,379.9,263,0.01748,0.02844,6.7664,0.02668,0.9471,0.0000,0.0078,-10.4547,-0.0000,7.6426,137.89,232,31,0,0.8821,0.5868,0
13,1299948,-5.0505,380.4,263,0.00861,0.12263,6.7802,0.02515,0.9298,0.0000,0.0055,-9.9609,0.0000,4.9049,137.45,196,67,0,0.7452,0.5947,0
14,1399944,-5.5918,378.7,265,0.00653,0.07242,6.7311,0.02638,0.9439,0.0000,0.0041,-9.6337,0.0000,4.0377,137.32,186,79,0,0.7019,0.5000,1
15,1499940,-8.4858,404.2,247,0.00598,0.08735,6.6848,0.02505,0.9098,0.0000,0.0156,-9.3516,0.0000,0.8502,137.02,134,113,0,0.5425,0.5021,0
16,1599936,-8.3480,407.4,245,-0.00556,0.04913,6.6426,0.02437,0.9206,0.0000,0.0140,-9.7906,-0.0000,1.4286,137.15,140,105,0,0.5714,0.5056,0
17,1699932,-7.9271,407.8,244,0.02938,0.06853,6.6539,0.02303,0.9051,0.0000,0.0093,-9.7397,-0.0000,1.8033,136.91,144,100,0,0.5902,0.5098,0
18,1799928,-8.1807,416.8,242,0.00396,0.07776,6.5631,0.02473,0.8806,0.0000,0.0043,-10.2511,0.0000,2.0661,142.10,146,96,0,0.6033,0.5145,0
19,1899924,-6.4426,417.4,239,0.01427,0.06302,6.5726,0.02420,0.8984,0.0000,0.0017,-10.1682,-0.0000,3.7238,146.16,164,75,0,0.6862,0.5231,0
20,1999920,-4.4344,412.9,241,-0.03337,0.09557,6.5579,0.02411,0.9028,0.0000,0.0135,-9.8836,-0.0000,5.4357,145.98,186,55,0,0.7718,0.5355,0
21,2099916,-4.3807,417.5,239,-0.01340,0.04527,6.5228,0.02464,0.9088,0.0000,0.0119,-9.7901,-0.0000,5.3975,146.58,184,55,0,0.7699,0.5472,0
22,2199912,-4.8806,421.7,238,0.00439,0.05468,6.5503,0.02411,0.9164,0.0000,0.0148,-9.9375,0.0000,5.0420,145.74,179,59,0,0.7521,0.5575,0
