iteration,global_step,mean_return,mean_length,completed_episodes,policy_loss,value_loss,entropy,approx_kl,explained_variance,ep_pursuit,ep_damage,ep_shaping,ep_terminal,elapsed_sec,win,loss,draw,raw_win_rate,ema_mean,ema_min,pool_size,opp_added,altitude_term
1,49998,-10.0719,433.5,114,0.01252,1.24573,11.1811,0.09650,-0.0101,0.0000,0.0098,-3.8975,-6.1842,111.99,63,51,0,0.5526,0.5053,0.5053,1,0,51
2,99996,-15.2680,428.0,114,-0.02720,0.17591,11.0575,0.04718,0.7234,0.0000,0.0003,-4.0402,-11.2281,124.87,40,74,0,0.3509,0.4898,0.4898,1,0,74
3,149994,-15.5415,422.2,120,-0.01732,0.19565,11.0158,0.04803,0.8631,0.0000,-0.0062,-3.8687,-11.6667,124.04,40,80,0,0.3333,0.4742,0.4742,1,0,80
4,199992,-14.1731,424.9,117,-0.03795,0.30982,11.0130,0.04740,0.9129,0.0000,0.0073,-4.0094,-10.1709,119.18,46,71,0,0.3932,0.4661,0.4661,1,0,71
5,249990,-9.1471,436.9,114,-0.02195,0.10219,10.9697,0.04638,0.8993,0.0000,0.0026,-4.2813,-4.8684,116.19,69,45,0,0.6053,0.4800,0.4800,1,0,45
6,299988,-9.2082,444.5,113,-0.03091,0.10835,10.9621,0.04795,0.9179,0.0000,0.0017,-4.4754,-4.7345,111.89,69,44,0,0.6106,0.4931,0.4931,1,0,44
7,349986,-7.1294,448.4,111,-0.03081,0.14758,10.8916,0.04742,0.9333,0.0000,0.0200,-4.4918,-2.6577,117.74,77,34,0,0.6937,0.5131,0.5131,1,0,34
8,399984,-4.2602,451.1,111,-0.02630,0.01967,10.8819,0.04606,0.9275,0.0000,-0.0029,-4.5276,0.2703,111.28,90,21,0,0.8108,0.5429,0.5429,1,0,21
9,449982,-3.8468,457.6,110,-0.02508,0.02118,10.8202,0.05195,0.9268,0.0000,0.0108,-4.7667,0.9091,111.00,92,18,0,0.8364,0.5722,0.5722,1,0,18
10,499980,-1.6317,458.3,110,-0.02674,0.00747,10.8157,0.04458,0.9621,0.0000,0.0035,-4.8170,3.1818,113.77,102,8,0,0.9273,0.5539,0.5000,2,1,8
11,549978,-9.0923,539.4,89,-0.03122,0.01061,10.7700,0.04694,0.9581,0.0000,0.0044,-6.5124,-2.5843,112.96,62,27,0,0.6966,0.5713,0.5010,2,0,27
12,599976,-7.4183,545.5,91,-0.02735,0.02973,10.7301,0.04542,0.9542,0.0000,-0.0100,-6.6391,-0.7692,111.35,70,21,0,0.7692,0.5931,0.5136,2,0,21
