Time,Longitude,Latitude,Altitude,Roll (deg),Pitch (deg),Yaw (deg),Health
0.0,128.181881,37.968239,7002.7287936,0.0,-0.08,179.999,1.0
0.1,128.181881,37.967969,7002.577308,0.0,-0.201,179.999,1.0
0.2,128.181881,37.967698,7002.3904656,-0.001,-0.316,180.0,1.0
0.3,128.181881,37.967428,7002.1670472000005,-0.001,-0.422,180.0,1.0
0.4,128.181881,37.967157,7001.9049192,-0.002,-0.521,180.0,1.0
0.5,128.181881,37.966885,7001.603472,-0.002,-0.615,180.0,1.0
0.6,128.181881,37.966614,7001.2617912000005,-0.001,-0.704,180.0,1.0
0.7,128.181881,37.966342,7000.8792672,-0.001,-0.791,180.0,1.0
0.8,128.181881,37.966069,7000.4559,-0.001,-0.876,180.0,1.0
0.9,128.181881,37.965797,6999.9907752,0.0,-0.959,180.001,1.0
1.0,128.181881,37.965524,6999.484197600001,0.0,-1.04,180.001,1.0
1.1,128.181881,37.96525,6998.9361672,0.001,-1.121,180.001,1.0
1.2,128.181881,37.964977,6998.3460744,0.002,-1.201,180.001,1.0
1.3,128.18188,37.964703,6997.714528800001,0.003,-1.279,180.002,1.0
1.4,128.18188,37.964428,6997.0412256,0.004,-1.358,180.002,1.0
1.5,128.18188,37.964153,6996.326164800001,0.005,-1.435,180.002,1.0
1.6,128.18188,37.963878,6995.5696512,0.006,-1.513,180.003,1.0
1.7,128.18188,37.963603,6994.77138,0.008,-1.589,180.003,1.0
1.8,128.18188,37.963327,6993.931351200001,0.009,-1.666,180.003,1.0
1.9,128.18188,37.963051,6993.050174400001,0.011,-1.741,180.003,1.0
2.0,128.18188,37.962774,6992.12724,0.012,-1.817,180.004,1.0
2.1,128.18188,37.962497,6991.1631576,0.014,-1.892,180.004,1.0
2.2,128.18188,37.96222,6990.1579272,0.016,-1.967,180.004,1.0
2.3,128.18188,37.961942,6989.111244,0.017,-2.041,180.005,1.0
2.4,128.18188,37.961664,6988.0234128,0.019,-2.115,180.005,1.0
2.5,128.18188,37.961386,6986.894738400001,0.021,-2.188,180.005,1.0
2.6,128.18188,37.961107,6985.7252208,0.023,-2.261,180.006,1.0
2.7,128.18188,37.960828,6984.5145552,0.025,-2.334,180.006,1.0
2.8,128.18188,37.960548,6983.2633512,0.027,-2.406,180.006,1.0
2.9,128.18188,37.960268,6981.971304000001,0.029,-2.478,180.007,1.0
3.0,128.181879,37.959988,6980.6387184000005,0.031,-2.549,180.007,1.0
3.1,128.181879,37.959707,6979.2655944,0.033,-2.62,180.008,1.0
3.2,128.181879,37.959426,6977.8519320000005,0.035,-2.692,180.008,1.0
3.3,128.181879,37.959144,6976.3980360000005,0.037,-2.763,180.008,1.0
3.4,128.181879,37.958862,6974.903906400001,0.039,-2.834,180.009,1.0
3.5,128.181879,37.95858,6973.3695431999995,0.041,-2.906,180.009,1.0
3.6,128.181879,37.958297,6971.7946416,0.043,-2.977,180.009,1.0
3.7,128.181879,37.958013,6970.179811200001,0.046,-3.048,180.01,1.0
3.8,128.181879,37.95773,6968.524747200001,0.048,-3.118,180.01,1.0
3.9,128.181879,37.957446,6966.8294496,0.05,-3.189,180.01,1.0
4.0,128.181878,37.957161,6965.093918400001,0.052,-3.259,180.011,1.0
4.1,128.181878,37.956876,6963.3184584,0.055,-3.329,180.011,1.0
4.2,128.181878,37.956591,6961.502460000001,0.057,-3.398,180.012,1.0
4.3,128.181878,37.956305,6959.6468376,0.059,-3.468,180.012,1.0
4.4,128.181878,37.956019,6957.7506768,0.062,-3.537,180.012,1.0
4.5,128.181878,37.955732,6955.8145872000005,0.064,-3.606,180.013,1.0
4.6,128.181878,37.955445,6953.838568800001,0.067,-3.674,180.013,1.0
4.7,128.181878,37.955157,6951.8223168,0.069,-3.743,180.013,1.0
4.8,128.181877,37.954869,6949.7658312,0.072,-3.811,180.014,1.0
4.9,128.181877,37.954581,6947.6694168,0.074,-3.879,180.014,1.0
5.0,128.181877,37.954292,6945.5330736000005,0.077,-3.946,180.015,1.0
5.1,128.181877,37.954002,6943.356801600001,0.079,-4.013,180.015,1.0
5.2,128.181877,37.953712,6941.1406008,0.082,-4.08,180.015,1.0
5.3,128.181877,37.953422,6938.8844712,0.084,-4.146,180.016,1.0
5.4,128.181877,37.953131,6936.5884128,0.087,-4.211,180.016,1.0
5.5,128.181876,37.95284,6934.2530352,0.089,-4.277,180.016,1.0
5.6,128.181876,37.952549,6931.877728800001,0.092,-4.342,180.017,1.0
5.7,128.181876,37.952256,6929.4631032,0.095,-4.406,180.017,1.0
5.8,128.181876,37.951964,6927.0088536,0.098,-4.47,180.018,1.0
5.9,128.181876,37.951671,6924.5152848,0.1,-4.534,180.018,1.0
6.0,128.181876,37.951378,6921.982396800001,0.103,-4.597,180.018,1.0
6.1,128.181875,37.951084,6919.4104944,0.106,-4.661,180.019,1.0
6.2,128.181875,37.950789,6916.799577600001,0.109,-4.723,180.019,1.0
6.3,128.181875,37.950495,6914.1493416,0.111,-4.786,180.02,1.0
6.4,128.181875,37.950199,6911.460396,0.114,-4.848,180.02,1.0
6.5,128.181875,37.949904,6908.7327408,0.117,-4.91,180.02,1.0
6.6,128.181874,37.949608,6905.9660711999995,0.12,-4.971,180.021,1.0
6.7,128.181874,37.949311,6903.1609968,0.123,-5.032,180.021,1.0
6.8,128.181874,37.949014,6900.317212800001,0.126,-5.093,180.021,1.0
6.9,128.181874,37.948717,6897.435024,0.129,-5.153,180.022,1.0
7.0,128.181874,37.948419,6894.5147352,0.132,-5.213,180.022,1.0
7.1,128.181873,37.948121,6891.555736800001,0.135,-5.273,180.023,1.0
7.2,128.181873,37.947822,6888.5589432,0.138,-5.333,180.023,1.0
7.3,128.181873,37.947523,6885.524049600001,0.141,-5.392,180.023,1.0
7.4,128.181873,37.947223,6882.451056000001,0.144,-5.451,180.024,1.0
7.5,128.181872,37.946923,6879.3402672,0.147,-5.509,180.024,1.0
7.6,128.181872,37.946623,6876.191683200001,0.15,-5.567,180.025,1.0
7.7,128.181872,37.946322,6873.005304,0.154,-5.625,180.025,1.0
7.8,128.181872,37.946021,6869.7814344,0.157,-5.683,180.026,1.0
7.9,128.181871,37.945719,6866.5200744,0.16,-5.74,180.026,1.0
8.0,128.181871,37.945417,6863.221224000001,0.163,-5.797,180.026,1.0
8.1,128.181871,37.945115,6859.885188000001,0.167,-5.853,180.027,1.0
8.2,128.181871,37.944812,6856.5116616,0.17,-5.91,180.027,1.0
8.3,128.18187,37.944508,6853.1015592,0.173,-5.966,180.028,1.0
8.4,128.18187,37.944204,6849.6539664,0.177,-6.021,180.028,1.0
8.5,128.18187,37.9439,6846.1697976000005,0.18,-6.077,180.028,1.0
8.6,128.18187,37.943595,6842.648748,0.183,-6.132,180.029,1.0
8.7,128.181869,37.94329,6839.0908176,0.187,-6.186,180.029,1.0
8.8,128.181869,37.942985,6835.496615999999,0.19,-6.241,180.03,1.0
8.9,128.181869,37.942679,6831.865533600001,0.194,-6.295,180.03,1.0
9.0,128.181868,37.942373,6828.1984848,0.197,-6.349,180.031,1.0
9.1,128.181868,37.942066,6824.494860000001,0.201,-6.402,180.031,1.0
9.2,128.181868,37.941759,6820.754964000001,0.204,-6.456,180.032,1.0
9.3,128.181868,37.941451,6816.979101600001,0.208,-6.509,180.032,1.0
9.4,128.181867,37.941143,6813.1672728,0.211,-6.561,180.032,1.0
9.5,128.181867,37.940835,6809.3194776,0.215,-6.614,180.033,1.0
9.6,128.181867,37.940526,6805.4360208,0.219,-6.666,180.033,1.0
9.7,128.181866,37.940217,6801.516597600001,0.222,-6.717,180.034,1.0
9.8,128.181866,37.939907,6797.5618176,0.226,-6.769,180.034,1.0
9.9,128.181866,37.939597,6793.5710712,0.23,-6.82,180.035,1.0
10.0,128.181865,37.939287,6789.5452728,0.233,-6.871,180.035,1.0
10.1,128.181865,37.938976,6785.4838128,0.237,-6.922,180.036,1.0
10.2,128.181865,37.938665,6781.387300800001,0.241,-6.972,180.036,1.0
10.3,128.181864,37.938353,6777.255432000001,0.245,-7.022,180.037,1.0
10.4,128.181864,37.938041,6773.0885112000005,0.249,-7.072,180.037,1.0
10.5,128.181864,37.937728,6768.886538400001,0.252,-7.121,180.037,1.0
10.6,128.181863,37.937415,6764.6498184,0.256,-7.171,180.038,1.0
10.7,128.181863,37.937102,6760.3780464,0.26,-7.219,180.038,1.0
10.8,128.181862,37.936788,6756.0718320000005,0.264,-7.268,180.039,1.0
10.9,128.181862,37.936474,6751.730870400001,0.268,-7.316,180.039,1.0
11.0,128.181862,37.936159,6747.3551615999995,0.272,-7.365,180.04,1.0
11.1,128.181861,37.935844,6742.945315200001,0.276,-7.412,180.04,1.0
11.2,128.181861,37.935529,6738.5007216,0.28,-7.46,180.041,1.0
11.3,128.18186,37.935213,6734.0222952,0.284,-7.507,180.041,1.0
11.4,128.18186,37.934897,6729.5094264,0.288,-7.554,180.042,1.0
11.5,128.18186,37.93458,6724.962724800001,0.292,-7.601,180.042,1.0
11.6,128.181859,37.934263,6720.3818856,0.296,-7.647,180.043,1.0
11.7,128.181859,37.933946,6715.7672136,0.3,-7.693,180.043,1.0
11.8,128.181858,37.933628,6711.118708800001,0.305,-7.739,180.044,1.0
11.9,128.181858,37.93331,6706.4363712,0.309,-7.785,180.044,1.0
12.0,128.181858,37.932991,6701.720810400001,0.313,-7.83,180.045,1.0
12.1,128.181857,37.932672,6696.9714168,0.317,-7.875,180.045,1.0
12.2,128.181857,37.932352,6692.1888,0.321,-7.92,180.046,1.0
12.3,128.181856,37.932032,6687.372960000001,0.326,-7.964,180.046,1.0
12.4,128.181856,37.931712,6682.5238968,0.33,-8.008,180.047,1.0
12.5,128.181855,37.931391,6677.641610400001,0.334,-8.052,180.047,1.0
12.6,128.181855,37.93107,6672.7264056,0.338,-8.096,180.048,1.0
12.7,128.181854,37.930748,6667.7782824000005,0.343,-8.139,180.048,1.0
12.8,128.181854,37.930426,6662.7975456,0.347,-8.182,180.049,1.0
12.9,128.181853,37.930104,6657.7838904,0.352,-8.225,180.049,1.0
13.0,128.181853,37.929781,6652.7376216,0.356,-8.268,180.05,1.0
13.1,128.181852,37.929458,6647.659044,0.36,-8.31,180.05,1.0
13.2,128.181852,37.929134,6642.5478528,0.365,-8.352,180.051,1.0
13.3,128.181851,37.92881,6637.4043528,0.369,-8.394,180.051,1.0
13.4,128.181851,37.928486,6632.2288488,0.374,-8.435,180.052,1.0
13.5,128.18185,37.928161,6627.021036,0.378,-8.477,180.053,1.0
13.6,128.18185,37.927836,6621.781524000001,0.383,-8.518,180.053,1.0
13.7,128.181849,37.92751,6616.510008,0.387,-8.558,180.054,1.0
13.8,128.181849,37.927184,6611.206488000001,0.392,-8.599,180.054,1.0
13.9,128.181848,37.926857,6605.8715736,0.396,-8.639,180.055,1.0
14.0,128.181848,37.92653,6600.50496,0.401,-8.679,180.055,1.0
14.1,128.181847,37.926203,6595.106647200001,0.405,-8.719,180.056,1.0
14.2,128.181847,37.925875,6589.6772448,0.41,-8.758,180.056,1.0
14.3,128.181846,37.925547,6584.216448,0.415,-8.797,180.057,1.0
