Time,Longitude,Latitude,Altitude,Roll (deg),Pitch (deg),Yaw (deg),Health
0.0,128.181881,37.923871,7000.201087200001,0.97,0.118,0.03,1.0
0.1,128.181881,37.924141,7000.20444,3.251,0.452,0.042,1.0
0.2,128.181881,37.92441,7000.2004776,2.546,0.291,359.933,1.0
0.3,128.181881,37.92468,7000.2385776,-0.293,0.093,359.802,1.0
0.4,128.181881,37.92495,7000.266009600001,-2.556,-0.069,359.793,1.0
0.5,128.181881,37.92522,7000.2718008,-4.397,-0.208,359.785,1.0
0.6,128.181881,37.92549,7000.2586944,-6.135,-0.325,359.782,1.0
0.7,128.181881,37.925759,7000.2099264,-6.888,-0.418,359.92,1.0
0.8,128.181881,37.926029,7000.082824800001,-6.248,-0.52,359.936,1.0
0.9,128.181881,37.926299,6999.9334728,-8.745,-0.64,359.75,1.0
1.0,128.18188,37.926568,6999.8374608,-14.241,-0.523,359.614,1.0
1.1,128.181879,37.926837,6999.8246592000005,-20.222,0.22,359.515,1.0
1.2,128.181878,37.927105,6999.853005600001,-22.511,0.91,359.378,1.0
1.3,128.181876,37.927374,6999.8901912,-23.181,1.011,359.313,1.0
1.4,128.181873,37.927643,6999.8871432,-20.631,1.216,359.263,1.0
1.5,128.181871,37.927912,6999.8603207999995,-17.67,1.557,359.023,1.0
1.6,128.181868,37.928181,6999.8502624,-16.276,1.2,359.051,1.0
1.7,128.181865,37.92845,6999.8240496,-14.063,1.001,359.023,1.0
1.8,128.181861,37.928719,6999.818258400001,-13.517,1.37,358.834,1.0
1.9,128.181857,37.928989,6999.772843199999,-10.235,0.848,358.974,1.0
2.0,128.181853,37.929259,6999.657628800001,-5.5,-0.429,359.159,1.0
2.1,128.18185,37.929529,6999.45006,-1.586,-1.928,359.247,1.0
2.2,128.181846,37.929799,6999.2019528,-1.614,-1.919,359.146,1.0
2.3,128.181842,37.930069,6998.973048,-4.974,-1.776,358.966,1.0
2.4,128.181838,37.930339,6998.775232800001,-11.026,-1.943,358.846,1.0
2.5,128.181833,37.930608,6998.5618728,-17.276,-3.037,359.096,1.0
2.6,128.181829,37.930877,6998.2518912000005,-18.827,-3.3,359.337,1.0
2.7,128.181825,37.931147,6997.7544576,-16.095,-3.792,359.629,1.0
2.8,128.181821,37.931416,6996.9823992,-10.075,-4.872,0.064,1.0
2.9,128.181818,37.931686,6995.9058456,-1.385,-5.721,0.318,1.0
3.0,128.181815,37.931956,6994.5339408,7.448,-6.126,0.139,1.0
3.1,128.181812,37.932225,6992.935874400001,10.88,-6.659,359.765,1.0
3.2,128.181809,37.932495,6991.1896752,9.723,-6.898,359.481,1.0
3.3,128.181805,37.932765,6989.347464,7.814,-5.428,359.599,1.0
3.4,128.181802,37.933034,6987.395220000001,9.416,-3.926,359.826,1.0
3.5,128.181799,37.933304,6985.3198368,13.292,-3.823,359.787,1.0
3.6,128.181796,37.933575,6983.188065600001,15.882,-4.22,359.51,1.0
3.7,128.181794,37.933845,6981.041054400001,14.648,-5.426,358.952,1.0
3.8,128.181791,37.934115,6978.8909952,10.163,-6.56,358.483,1.0
3.9,128.181789,37.934385,6976.7366688,4.998,-5.866,358.547,1.0
4.0,128.181786,37.934655,6974.536927200001,4.467,-4.931,358.779,1.0
4.1,128.181784,37.934924,6972.255804,6.716,-5.059,358.797,1.0
4.2,128.181782,37.935194,6969.9100632,9.065,-5.99,358.722,1.0
4.3,128.181779,37.935463,6967.427772,12.587,-7.195,358.604,1.0
4.4,128.181776,37.935733,6964.8324,12.905,-7.841,358.438,1.0
4.5,128.181774,37.936002,6962.091638400001,12.635,-8.701,358.337,1.0
4.6,128.18177,37.936271,6959.1335544,14.679,-8.711,358.49,1.0
4.7,128.181767,37.93654,6955.9541856000005,18.099,-7.406,358.883,1.0
4.8,128.181763,37.936809,6952.651068,17.668,-7.064,358.886,1.0
4.9,128.181759,37.937078,6949.2882096,14.066,-8.334,358.329,1.0
5.0,128.181756,37.937347,6945.899138400001,7.638,-9.357,357.999,1.0
5.1,128.181752,37.937615,6942.4823304,0.878,-8.869,358.186,1.0
5.2,128.181749,37.937883,6939.0374808,-2.596,-7.522,358.344,1.0
5.3,128.181745,37.938151,6935.6185392,-5.937,-7.514,358.39,1.0
5.4,128.181741,37.938419,6932.170641600001,-4.963,-7.92,358.584,1.0
5.5,128.181738,37.938686,6928.593508800001,-0.194,-8.548,358.745,1.0
5.6,128.181734,37.938953,6924.8097216,5.688,-9.359,358.683,1.0
5.7,128.18173,37.93922,6920.8464072,7.539,-10.55,358.372,1.0
5.8,128.181726,37.939487,6916.7538576,5.558,-11.52,358.158,1.0
5.9,128.181721,37.939753,6912.5686488,0.662,-12.204,358.075,1.0
6.0,128.181717,37.940019,6908.2423176,-3.888,-12.829,358.128,1.0
6.1,128.181713,37.940284,6903.7571856,-5.502,-11.919,358.121,1.0
6.2,128.181708,37.940549,6899.228772,-9.409,-10.263,357.917,1.0
6.3,128.181703,37.940814,6894.795456000001,-15.329,-7.861,357.487,1.0
6.4,128.181697,37.941079,6890.529170400001,-20.771,-5.683,356.906,1.0
6.5,128.18169,37.941344,6886.430524800001,-21.652,-3.815,356.432,1.0
6.6,128.181682,37.941609,6882.494642400001,-18.885,-1.876,355.893,1.0
6.7,128.181672,37.941874,6878.7526128,-14.279,-0.457,355.464,1.0
6.8,128.181662,37.942139,6875.2452792,-9.116,0.055,355.399,1.0
6.9,128.18165,37.942404,6872.0028168,-3.62,1.034,355.377,1.0
7.0,128.181639,37.942669,6869.056924800001,1.081,2.093,355.414,1.0
7.1,128.181627,37.942934,6866.4862416000005,2.591,2.924,355.481,1.0
7.2,128.181615,37.943198,6864.3517272,1.406,3.581,355.581,1.0
7.3,128.181603,37.943462,6862.666488000001,-1.926,4.62,355.627,1.0
7.4,128.18159,37.943725,6861.4384488,-7.094,5.763,355.55,1.0
7.5,128.181577,37.943987,6860.6758392,-13.875,6.866,355.304,1.0
7.6,128.181562,37.944249,6860.3655528,-22.131,7.546,354.941,1.0
7.7,128.181545,37.94451,6860.451506400001,-30.242,7.743,354.669,1.0
7.8,128.181526,37.94477,6860.814523200001,-34.498,7.742,354.521,1.0
7.9,128.181505,37.94503,6861.350056800001,-35.466,7.806,354.261,1.0
8.0,128.181483,37.94529,6861.986784000001,-33.844,7.939,353.981,1.0
8.1,128.18146,37.945549,6862.7192184000005,-30.115,8.336,353.636,1.0
8.2,128.181435,37.945808,6863.583936,-24.62,9.575,352.946,1.0
8.3,128.181409,37.946067,6864.637020000001,-19.049,10.825,352.307,1.0
8.4,128.181381,37.946324,6865.9814928000005,-17.158,11.862,351.744,1.0
8.5,128.181352,37.946581,6867.7145856,-18.466,12.827,351.311,1.0
8.6,128.181321,37.946836,6869.905792800001,-22.211,13.733,350.774,1.0
8.7,128.181287,37.94709,6872.5499328000005,-28.157,14.631,350.161,1.0
8.8,128.18125,37.947342,6875.6186592,-36.043,15.495,349.422,1.0
8.9,128.18121,37.947592,6879.070214400001,-45.541,16.198,348.376,1.0
9.0,128.181166,37.947841,6882.832360800001,-55.107,16.737,347.051,1.0
9.1,128.181118,37.948088,6886.799942400001,-61.344,17.192,345.6,1.0
9.2,128.181066,37.948335,6890.903464800001,-66.181,17.381,344.008,1.0
9.3,128.18101,37.948579,6895.1395752,-73.485,17.138,342.301,1.0
9.4,128.180948,37.948822,6899.4808416000005,-82.982,16.354,340.492,1.0
9.5,128.180881,37.949063,6903.8425296,-92.95,15.08,338.666,1.0
9.6,128.180809,37.949302,6908.1374663999995,-99.982,13.631,336.94,1.0
9.7,128.180733,37.949541,6912.327552000001,-104.4,12.099,335.403,1.0
9.8,128.180653,37.949779,6916.389012,-106.583,10.602,334.071,1.0
9.9,128.180571,37.950016,6920.3023392,-106.836,9.273,332.916,1.0
10.0,128.180485,37.950252,6924.053208,-105.452,8.245,331.845,1.0
10.1,128.180395,37.950487,6927.6339984,-104.074,7.468,330.814,1.0
10.2,128.1803,37.95072,6931.022764800001,-105.647,6.665,329.841,1.0
10.3,128.1802,37.950951,6934.180492800001,-109.854,5.842,328.882,1.0
10.4,128.180094,37.95118,6937.054452000001,-116.204,4.865,327.942,1.0
10.5,128.179982,37.951407,6939.5970936,-123.174,3.808,326.98,1.0
10.6,128.179866,37.951631,6941.810856000001,-127.369,2.701,325.985,1.0
10.7,128.179747,37.951854,6943.728048,-129.053,1.486,325.045,1.0
10.8,128.179624,37.952076,6945.380673600001,-128.547,0.205,324.203,1.0
