[claude_code/PPO] wandb 로깅 활성: project='AIP contest' run='team01/ppo_phase1'
[claude_code/PPO] opponent 초기화 = iter0 정책 (EMA α=0.05, 승격 임계 EMA≥0.60, 초기 EMA=0.5)
[claude_code/PPO] snapshot 저장: claude_code\models\team01\ppo_phase1 (iter 0 = 초기 network)
iter   1 | step   99996 | return   -9.524 | len  367.0 | damage  0.002 | dist -9.748 | aim -0.000 | ent  7.306 | kl 0.0268 | ev  0.055 | opp(gen0) W/L/D 138/132/0 raw_wr 0.51 ema 0.501
iter   2 | step  199992 | return   -7.791 | len  372.4 | damage  0.001 | dist -9.927 | aim -0.000 | ent  6.991 | kl 0.0241 | ev  0.603 | opp(gen0) W/L/D 162/105/0 raw_wr 0.61 ema 0.506
iter   3 | step  299988 | return  -10.137 | len  366.5 | damage  0.012 | dist -9.453 | aim  0.000 | ent  6.989 | kl 0.0239 | ev  0.785 | opp(gen0) W/L/D 127/146/0 raw_wr 0.47 ema 0.504
iter   4 | step  399984 | return   -9.316 | len  369.4 | damage  0.009 | dist -9.731 | aim  0.000 | ent  7.014 | kl 0.0250 | ev  0.860 | opp(gen0) W/L/D 141/130/0 raw_wr 0.52 ema 0.505
iter   5 | step  499980 | return   -7.945 | len  369.6 | damage  0.005 | dist -9.759 | aim -0.000 | ent  6.939 | kl 0.0237 | ev  0.914 | opp(gen0) W/L/D 160/111/0 raw_wr 0.59 ema 0.509
iter   6 | step  599976 | return   -8.016 | len  373.5 | damage  0.009 | dist -9.890 | aim -0.000 | ent  6.973 | kl 0.0243 | ev  0.928 | opp(gen0) W/L/D 159/109/0 raw_wr 0.59 ema 0.513
iter   7 | step  699972 | return   -7.975 | len  369.7 | damage  0.007 | dist -9.717 | aim -0.000 | ent  6.955 | kl 0.0261 | ev  0.941 | opp(gen0) W/L/D 159/112/0 raw_wr 0.59 ema 0.517
iter   8 | step  799968 | return   -6.461 | len  373.0 | damage  0.011 | dist -9.980 | aim -0.000 | ent  6.914 | kl 0.0258 | ev  0.940 | opp(gen0) W/L/D 181/87/0 raw_wr 0.68 ema 0.525
iter   9 | step  899964 | return   -3.368 | len  380.5 | damage  0.020 | dist -10.782 | aim -0.000 | ent  6.883 | kl 0.0281 | ev  0.936 | opp(gen0) W/L/D 227/34/0 raw_wr 0.87 ema 0.542
iter  10 | step  999960 | return   -4.989 | len  380.5 | damage  0.004 | dist -10.582 | aim -0.000 | ent  6.840 | kl 0.0270 | ev  0.937 | opp(gen0) W/L/D 205/58/0 raw_wr 0.78 ema 0.554
iter  11 | step 1099956 | return   -2.748 | len  381.9 | damage  0.006 | dist -10.776 | aim -0.000 | ent  6.776 | kl 0.0261 | ev  0.941 | opp(gen0) W/L/D 237/26/0 raw_wr 0.90 ema 0.571
iter  12 | step 1199952 | return   -2.804 | len  379.9 | damage  0.008 | dist -10.455 | aim -0.000 | ent  6.766 | kl 0.0267 | ev  0.947 | opp(gen0) W/L/D 232/31/0 raw_wr 0.88 ema 0.587
iter  13 | step 1299948 | return   -5.051 | len  380.4 | damage  0.005 | dist -9.961 | aim  0.000 | ent  6.780 | kl 0.0252 | ev  0.930 | opp(gen0) W/L/D 196/67/0 raw_wr 0.75 ema 0.595
iter  14 | step 1399944 | return   -5.592 | len  378.7 | damage  0.004 | dist -9.634 | aim  0.000 | ent  6.731 | kl 0.0264 | ev  0.944 | opp(gen1) W/L/D 186/79/0 raw_wr 0.70 ema 0.500 *OPP PROMOTED (ema reset 0.5, best saved)*
iter  15 | step 1499940 | return   -8.486 | len  404.2 | damage  0.016 | dist -9.352 | aim  0.000 | ent  6.685 | kl 0.0250 | ev  0.910 | opp(gen1) W/L/D 134/113/0 raw_wr 0.54 ema 0.502
iter  16 | step 1599936 | return   -8.348 | len  407.4 | damage  0.014 | dist -9.791 | aim -0.000 | ent  6.643 | kl 0.0244 | ev  0.921 | opp(gen1) W/L/D 140/105/0 raw_wr 0.57 ema 0.506
iter  17 | step 1699932 | return   -7.927 | len  407.8 | damage  0.009 | dist -9.740 | aim -0.000 | ent  6.654 | kl 0.0230 | ev  0.905 | opp(gen1) W/L/D 144/100/0 raw_wr 0.59 ema 0.510
iter  18 | step 1799928 | return   -8.181 | len  416.8 | damage  0.004 | dist -10.251 | aim  0.000 | ent  6.563 | kl 0.0247 | ev  0.881 | opp(gen1) W/L/D 146/96/0 raw_wr 0.60 ema 0.514
iter  19 | step 1899924 | return   -6.443 | len  417.4 | damage  0.002 | dist -10.168 | aim -0.000 | ent  6.573 | kl 0.0242 | ev  0.898 | opp(gen1) W/L/D 164/75/0 raw_wr 0.69 ema 0.523
iter  20 | step 1999920 | return   -4.434 | len  412.9 | damage  0.014 | dist -9.884 | aim -0.000 | ent  6.558 | kl 0.0241 | ev  0.903 | opp(gen1) W/L/D 186/55/0 raw_wr 0.77 ema 0.536
iter  21 | step 2099916 | return   -4.381 | len  417.5 | damage  0.012 | dist -9.790 | aim -0.000 | ent  6.523 | kl 0.0246 | ev  0.909 | opp(gen1) W/L/D 184/55/0 raw_wr 0.77 ema 0.547
iter  22 | step 2199912 | return   -4.881 | len  421.7 | damage  0.015 | dist -9.937 | aim  0.000 | ent  6.550 | kl 0.0241 | ev  0.916 | opp(gen1) W/L/D 179/59/0 raw_wr 0.75 ema 0.557
iter  23 | step 2299908 | return   -1.565 | len  415.3 | damage  0.006 | dist -9.404 | aim -0.000 | ent  6.357 | kl 0.0229 | ev  0.905 | opp(gen1) W/L/D 214/26/0 raw_wr 0.89 ema 0.574
iter  24 | step 2399904 | return   -0.664 | len  422.8 | damage  0.009 | dist -9.413 | aim  0.000 | ent  6.380 | kl 0.0227 | ev  0.914 | opp(gen1) W/L/D 223/15/0 raw_wr 0.94 ema 0.592
iter  25 | step 2499900 | return   -0.383 | len  419.1 | damage  0.004 | dist -9.294 | aim -0.000 | ent  6.314 | kl 0.0223 | ev  0.906 | opp(gen2) W/L/D 225/13/0 raw_wr 0.95 ema 0.500 *OPP PROMOTED (ema reset 0.5, best saved)*
iter  26 | step 2599896 | return  -12.530 | len  607.6 | damage  0.001 | dist -13.019 | aim -0.000 | ent  6.257 | kl 0.0195 | ev  0.794 | opp(gen2) W/L/D 86/78/0 raw_wr 0.52 ema 0.501
iter  27 | step 2699892 | return  -12.925 | len  649.3 | damage  0.000 | dist -13.786 | aim  0.000 | ent  6.285 | kl 0.0203 | ev  0.820 | opp(gen2) W/L/D 82/69/0 raw_wr 0.54 ema 0.503
iter  28 | step 2799888 | return  -11.184 | len  660.8 | damage  0.002 | dist -13.555 | aim  0.000 | ent  6.268 | kl 0.0235 | ev  0.835 | opp(gen2) W/L/D 94/58/0 raw_wr 0.62 ema 0.509
iter  29 | step 2899884 | return  -10.880 | len  625.1 | damage  0.006 | dist -11.694 | aim  0.000 | ent  6.252 | kl 0.0228 | ev  0.828 | opp(gen2) W/L/D 87/74/0 raw_wr 0.54 ema 0.511
iter  30 | step 2999880 | return   -9.091 | len  652.2 | damage  0.012 | dist -12.909 | aim -0.000 | ent  6.260 | kl 0.0230 | ev  0.834 | opp(gen2) W/L/D 107/48/0 raw_wr 0.69 ema 0.520
iter  31 | step 3099876 | return   -8.140 | len  648.3 | damage  0.019 | dist -12.276 | aim -0.000 | ent  6.142 | kl 0.0214 | ev  0.849 | opp(gen2) W/L/D 108/45/0 raw_wr 0.71 ema 0.529
iter  32 | step 3199872 | return   -6.570 | len  633.1 | damage  0.020 | dist -11.779 | aim  0.000 | ent  6.184 | kl 0.0211 | ev  0.831 | opp(gen2) W/L/D 120/38/0 raw_wr 0.76 ema 0.540
iter  33 | step 3299868 | return   -6.157 | len  628.1 | damage  0.016 | dist -11.923 | aim  0.000 | ent  6.146 | kl 0.0220 | ev  0.824 | opp(gen2) W/L/D 126/34/0 raw_wr 0.79 ema 0.553
iter  34 | step 3399864 | return   -4.234 | len  551.7 | damage  0.023 | dist -8.782 | aim -0.000 | ent  6.125 | kl 0.0228 | ev  0.847 | opp(gen2) W/L/D 130/49/0 raw_wr 0.73 ema 0.561
