[claude_code/PPO] wandb 로깅 활성: project='AIP contest' run='team01/basic'
[claude_code/PPO] opponent pool 초기화 = iter0 정책 1개 (최대 5개, EMA α=0.05, 추가 임계 min-EMA≥0.60, 초기 EMA=0.5, 샘플 τ=0.3)
[claude_code/PPO] snapshot 저장: claude_code\models\team01\basic (iter 0 = 초기 network)
iter   1 | step   49998 | return  -12.628 | len  419.0 | damage -0.001 | dist -13.909 | aim  0.000 | ent  6.962 | kl 0.0287 | ev -0.325 | altT 51 | pool1 W/L/D 66/51/0 raw_wr 0.56 ema[min 0.503 mean 0.503]
iter   2 | step   99996 | return  -15.595 | len  406.4 | damage  0.011 | dist -11.621 | aim -0.000 | ent  6.775 | kl 0.0341 | ev  0.473 | altT 86 | pool1 W/L/D 37/86/0 raw_wr 0.30 ema[min 0.493 mean 0.493]
iter   3 | step  149994 | return  -15.294 | len  403.2 | damage -0.002 | dist -11.471 | aim -0.000 | ent  6.767 | kl 0.0349 | ev  0.743 | altT 85 | pool1 W/L/D 38/85/0 raw_wr 0.31 ema[min 0.484 mean 0.484]
iter   4 | step  199992 | return  -14.741 | len  406.4 | damage  0.002 | dist -12.001 | aim  0.000 | ent  6.689 | kl 0.0339 | ev  0.797 | altT 79 | pool1 W/L/D 45/79/0 raw_wr 0.36 ema[min 0.478 mean 0.478]
iter   5 | step  249990 | return  -15.668 | len  417.4 | damage  0.013 | dist -12.680 | aim -0.000 | ent  6.686 | kl 0.0334 | ev  0.841 | altT 78 | pool1 W/L/D 42/78/0 raw_wr 0.35 ema[min 0.471 mean 0.471]
iter   6 | step  299988 | return  -13.088 | len  400.5 | damage -0.002 | dist -11.447 | aim -0.000 | ent  6.688 | kl 0.0347 | ev  0.863 | altT 71 | pool1 W/L/D 51/71/0 raw_wr 0.42 ema[min 0.469 mean 0.469]
iter   7 | step  349986 | return  -14.626 | len  416.7 | damage -0.005 | dist -12.886 | aim -0.000 | ent  6.666 | kl 0.0362 | ev  0.859 | altT 71 | pool1 W/L/D 50/71/0 raw_wr 0.41 ema[min 0.466 mean 0.466]
iter   8 | step  399984 | return  -14.381 | len  403.1 | damage  0.003 | dist -11.583 | aim -0.000 | ent  6.657 | kl 0.0355 | ev  0.895 | altT 80 | pool1 W/L/D 45/80/0 raw_wr 0.36 ema[min 0.461 mean 0.461]
iter   9 | step  449982 | return  -14.193 | len  401.7 | damage  0.003 | dist -11.615 | aim  0.000 | ent  6.618 | kl 0.0378 | ev  0.890 | altT 78 | pool1 W/L/D 46/78/0 raw_wr 0.37 ema[min 0.456 mean 0.456]
iter  10 | step  499980 | return  -16.389 | len  393.4 | damage  0.007 | dist -10.893 | aim -0.000 | ent  6.565 | kl 0.0337 | ev  0.939 | altT 100 | pool1 W/L/D 29/100/0 raw_wr 0.22 ema[min 0.445 mean 0.445]
iter  11 | step  549978 | return  -16.518 | len  398.0 | damage -0.005 | dist -11.028 | aim  0.000 | ent  6.570 | kl 0.0344 | ev  0.923 | altT 96 | pool1 W/L/D 28/96/0 raw_wr 0.23 ema[min 0.434 mean 0.434]
iter  12 | step  599976 | return  -15.481 | len  390.8 | damage  0.003 | dist -10.328 | aim  0.000 | ent  6.514 | kl 0.0321 | ev  0.954 | altT 97 | pool1 W/L/D 31/97/0 raw_wr 0.24 ema[min 0.424 mean 0.424]
iter  13 | step  649974 | return  -15.471 | len  393.2 | damage -0.000 | dist -10.352 | aim  0.000 | ent  6.505 | kl 0.0337 | ev  0.960 | altT 96 | pool1 W/L/D 31/96/0 raw_wr 0.24 ema[min 0.415 mean 0.415]
iter  14 | step  699972 | return  -15.042 | len  385.1 | damage -0.001 | dist -9.469 | aim  0.000 | ent  6.492 | kl 0.0344 | ev  0.959 | altT 102 | pool1 W/L/D 29/102/0 raw_wr 0.22 ema[min 0.405 mean 0.405]
iter  15 | step  749970 | return  -14.906 | len  383.6 | damage  0.009 | dist -9.530 | aim  0.000 | ent  6.500 | kl 0.0362 | ev  0.932 | altT 100 | pool1 W/L/D 30/100/0 raw_wr 0.23 ema[min 0.397 mean 0.397]
iter  16 | step  799968 | return  -16.012 | len  385.0 | damage  0.000 | dist -9.550 | aim  0.000 | ent  6.447 | kl 0.0330 | ev  0.966 | altT 107 | pool1 W/L/D 23/107/0 raw_wr 0.18 ema[min 0.386 mean 0.386]
iter  17 | step  849966 | return  -15.308 | len  385.8 | damage  0.005 | dist -9.313 | aim  0.000 | ent  6.415 | kl 0.0312 | ev  0.962 | altT 104 | pool1 W/L/D 26/104/0 raw_wr 0.20 ema[min 0.376 mean 0.376]
