[claude_code/PPO] wandb 로깅 활성: project='AIP contest' run='team01/basic'
[claude_code/PPO] opponent pool 초기화 = iter0 정책 1개 (최대 5개, EMA α=0.05, 추가 임계 min-EMA≥0.60, 초기 EMA=0.5, 샘플 τ=0.3)
[claude_code/PPO] snapshot 저장: claude_code\models\team01\basic (iter 0 = 초기 network)
iter   1 | step   49998 | return  -22.064 | len  419.0 | damage -0.001 | dist -13.909 | aim  0.000 | ent  6.811 | kl 0.0593 | ev -0.207 | altT 51 | pool1 W/L/D 66/51/0 raw_wr 0.56 ema[min 0.503 mean 0.503]
iter   2 | step   99996 | return  -24.629 | len  406.7 | damage  0.002 | dist -11.460 | aim -0.000 | ent  6.763 | kl 0.0323 | ev  0.739 | altT 83 | pool1 W/L/D 40/83/0 raw_wr 0.33 ema[min 0.494 mean 0.494]
iter   3 | step  149994 | return  -24.946 | len  419.1 | damage  0.013 | dist -12.195 | aim  0.000 | ent  6.763 | kl 0.0323 | ev  0.893 | altT 78 | pool1 W/L/D 41/78/0 raw_wr 0.34 ema[min 0.487 mean 0.487]
iter   4 | step  199992 | return  -23.624 | len  414.3 | damage -0.002 | dist -12.127 | aim -0.000 | ent  6.755 | kl 0.0349 | ev  0.914 | altT 72 | pool1 W/L/D 49/72/0 raw_wr 0.40 ema[min 0.483 mean 0.483]
iter   5 | step  249990 | return  -23.684 | len  423.6 | damage  0.000 | dist -13.017 | aim -0.000 | ent  6.717 | kl 0.0347 | ev  0.925 | altT 65 | pool1 W/L/D 52/65/0 raw_wr 0.44 ema[min 0.481 mean 0.481]
iter   6 | step  299988 | return  -22.373 | len  427.6 | damage  0.006 | dist -13.603 | aim  0.000 | ent  6.683 | kl 0.0328 | ev  0.943 | altT 54 | pool1 W/L/D 62/54/0 raw_wr 0.53 ema[min 0.483 mean 0.483]
iter   7 | step  349986 | return  -21.498 | len  436.5 | damage -0.001 | dist -14.350 | aim  0.000 | ent  6.698 | kl 0.0330 | ev  0.953 | altT 45 | pool1 W/L/D 71/45/0 raw_wr 0.61 ema[min 0.490 mean 0.490]
iter   8 | step  399984 | return  -20.257 | len  434.6 | damage  0.007 | dist -14.023 | aim  0.000 | ent  6.636 | kl 0.0328 | ev  0.946 | altT 40 | pool1 W/L/D 76/40/0 raw_wr 0.66 ema[min 0.498 mean 0.498]
iter   9 | step  449982 | return  -21.940 | len  437.0 | damage -0.007 | dist -14.198 | aim -0.000 | ent  6.632 | kl 0.0344 | ev  0.946 | altT 47 | pool1 W/L/D 66/47/0 raw_wr 0.58 ema[min 0.502 mean 0.502]
iter  10 | step  499980 | return  -20.056 | len  445.7 | damage  0.008 | dist -14.745 | aim -0.000 | ent  6.596 | kl 0.0350 | ev  0.941 | altT 34 | pool1 W/L/D 79/34/0 raw_wr 0.70 ema[min 0.512 mean 0.512]
iter  11 | step  549978 | return  -19.846 | len  440.9 | damage  0.000 | dist -14.342 | aim -0.000 | ent  6.571 | kl 0.0359 | ev  0.945 | altT 35 | pool1 W/L/D 78/35/0 raw_wr 0.69 ema[min 0.521 mean 0.521]
iter  12 | step  599976 | return  -19.812 | len  436.6 | damage  0.008 | dist -13.881 | aim  0.000 | ent  6.578 | kl 0.0334 | ev  0.950 | altT 38 | pool1 W/L/D 77/38/0 raw_wr 0.67 ema[min 0.529 mean 0.529]
iter  13 | step  649974 | return  -18.413 | len  442.8 | damage  0.011 | dist -14.406 | aim  0.000 | ent  6.507 | kl 0.0328 | ev  0.955 | altT 27 | pool1 W/L/D 86/27/0 raw_wr 0.76 ema[min 0.540 mean 0.540]
iter  14 | step  699972 | return  -19.758 | len  444.7 | damage  0.013 | dist -14.396 | aim -0.000 | ent  6.514 | kl 0.0365 | ev  0.926 | altT 34 | pool1 W/L/D 78/34/0 raw_wr 0.70 ema[min 0.548 mean 0.548]
iter  15 | step  749970 | return  -19.601 | len  443.1 | damage  0.008 | dist -13.859 | aim -0.000 | ent  6.466 | kl 0.0320 | ev  0.955 | altT 36 | pool1 W/L/D 76/36/0 raw_wr 0.68 ema[min 0.555 mean 0.555]
iter  16 | step  799968 | return  -16.828 | len  450.6 | damage  0.002 | dist -13.892 | aim -0.000 | ent  6.425 | kl 0.0332 | ev  0.929 | altT 21 | pool1 W/L/D 91/21/0 raw_wr 0.81 ema[min 0.567 mean 0.567]
iter  17 | step  849966 | return  -18.922 | len  444.8 | damage  0.005 | dist -13.552 | aim -0.000 | ent  6.402 | kl 0.0336 | ev  0.945 | altT 34 | pool1 W/L/D 78/34/0 raw_wr 0.70 ema[min 0.574 mean 0.574]
iter  18 | step  899964 | return  -21.008 | len  461.1 | damage  0.000 | dist -14.424 | aim -0.000 | ent  6.415 | kl 0.0318 | ev  0.953 | altT 39 | pool1 W/L/D 69/39/0 raw_wr 0.64 ema[min 0.577 mean 0.577]
iter  19 | step  949962 | return  -18.271 | len  446.0 | damage  0.003 | dist -13.462 | aim  0.000 | ent  6.371 | kl 0.0322 | ev  0.968 | altT 31 | pool1 W/L/D 81/31/0 raw_wr 0.72 ema[min 0.584 mean 0.584]
iter  20 | step  999960 | return  -16.897 | len  459.6 | damage -0.000 | dist -14.397 | aim  0.000 | ent  6.348 | kl 0.0304 | ev  0.954 | altT 18 | pool1 W/L/D 90/18/0 raw_wr 0.83 ema[min 0.597 mean 0.597]
iter  21 | step 1049958 | return  -16.845 | len  459.6 | damage  0.014 | dist -14.199 | aim -0.000 | ent  6.356 | kl 0.0314 | ev  0.954 | altT 19 | pool2 W/L/D 90/19/0 raw_wr 0.83 ema[min 0.500 mean 0.554] *POOL+ (added current, best saved)*
iter  22 | step 1099956 | return  -19.638 | len  445.6 | damage -0.004 | dist -12.426 | aim  0.000 | ent  6.301 | kl 0.0307 | ev  0.961 | altT 43 | pool2 W/L/D 67/43/0 raw_wr 0.61 ema[min 0.500 mean 0.558]
iter  23 | step 1149954 | return  -17.612 | len  454.3 | damage  0.002 | dist -12.505 | aim -0.000 | ent  6.255 | kl 0.0322 | ev  0.938 | altT 32 | pool2 W/L/D 78/32/0 raw_wr 0.71 ema[min 0.505 mean 0.566]
iter  24 | step 1199952 | return  -16.535 | len  450.6 | damage  0.013 | dist -12.012 | aim -0.000 | ent  6.300 | kl 0.0312 | ev  0.960 | altT 29 | pool2 W/L/D 81/29/0 raw_wr 0.74 ema[min 0.512 mean 0.575]
iter  25 | step 1249950 | return  -17.018 | len  456.7 | damage  0.007 | dist -12.438 | aim  0.000 | ent  6.313 | kl 0.0314 | ev  0.974 | altT 29 | pool2 W/L/D 80/29/0 raw_wr 0.73 ema[min 0.519 mean 0.585]
iter  26 | step 1299948 | return  -16.449 | len  454.0 | damage -0.001 | dist -11.823 | aim -0.000 | ent  6.275 | kl 0.0324 | ev  0.952 | altT 30 | pool2 W/L/D 82/30/0 raw_wr 0.73 ema[min 0.526 mean 0.593]
iter  27 | step 1349946 | return  -13.615 | len  476.0 | damage  0.004 | dist -11.792 | aim  0.000 | ent  6.245 | kl 0.0303 | ev  0.971 | altT 14 | pool2 W/L/D 90/14/0 raw_wr 0.87 ema[min 0.541 mean 0.607]
iter  28 | step 1399944 | return  -12.822 | len  460.5 | damage -0.002 | dist -10.515 | aim -0.000 | ent  6.198 | kl 0.0314 | ev  0.955 | altT 17 | pool2 W/L/D 91/17/0 raw_wr 0.84 ema[min 0.553 mean 0.620]
iter  29 | step 1449942 | return  -11.724 | len  464.6 | damage -0.002 | dist -10.171 | aim  0.000 | ent  6.243 | kl 0.0310 | ev  0.974 | altT 13 | pool2 W/L/D 94/13/0 raw_wr 0.88 ema[min 0.568 mean 0.633]
iter  30 | step 1499940 | return  -10.340 | len  485.3 | damage -0.008 | dist -10.110 | aim  0.000 | ent  6.136 | kl 0.0295 | ev  0.953 | altT 6 | pool2 W/L/D 97/6/1 raw_wr 0.93 ema[min 0.584 mean 0.649]
iter  31 | step 1549938 | return   -9.778 | len  470.5 | damage  0.023 | dist -9.623 | aim -0.000 | ent  6.130 | kl 0.0296 | ev  0.966 | altT 6 | pool3 W/L/D 101/6/0 raw_wr 0.94 ema[min 0.500 mean 0.609] *POOL+ (added current, best saved)*
iter  32 | step 1599936 | return  -12.048 | len  476.7 | damage -0.000 | dist -7.533 | aim  0.000 | ent  6.048 | kl 0.0283 | ev  0.965 | altT 26 | pool3 W/L/D 73/26/0 raw_wr 0.74 ema[min 0.501 mean 0.619]
iter  33 | step 1649934 | return  -12.542 | len  528.9 | damage  0.007 | dist -8.675 | aim -0.000 | ent  6.003 | kl 0.0291 | ev  0.968 | altT 22 | pool3 W/L/D 72/22/1 raw_wr 0.76 ema[min 0.503 mean 0.629]
iter  34 | step 1699932 | return  -11.385 | len  508.5 | damage  0.014 | dist -7.825 | aim -0.000 | ent  6.011 | kl 0.0282 | ev  0.976 | altT 22 | pool3 W/L/D 79/22/0 raw_wr 0.78 ema[min 0.507 mean 0.639]
iter  35 | step 1749930 | return   -9.139 | len  485.9 | damage  0.011 | dist -6.407 | aim -0.000 | ent  6.037 | kl 0.0280 | ev  0.952 | altT 18 | pool3 W/L/D 83/18/0 raw_wr 0.82 ema[min 0.515 mean 0.651]
iter  36 | step 1799928 | return   -9.722 | len  471.4 | damage  0.015 | dist -6.616 | aim  0.000 | ent  5.933 | kl 0.0274 | ev  0.967 | altT 21 | pool3 W/L/D 86/21/0 raw_wr 0.80 ema[min 0.524 mean 0.662]
iter  37 | step 1849926 | return   -9.334 | len  501.0 | damage  0.002 | dist -6.094 | aim  0.000 | ent  5.962 | kl 0.0296 | ev  0.959 | altT 20 | pool3 W/L/D 79/20/0 raw_wr 0.80 ema[min 0.530 mean 0.672]
iter  38 | step 1899924 | return   -7.218 | len  483.9 | damage -0.002 | dist -5.216 | aim -0.000 | ent  5.888 | kl 0.0288 | ev  0.967 | altT 15 | pool3 W/L/D 90/15/0 raw_wr 0.86 ema[min 0.540 mean 0.683]
iter  39 | step 1949922 | return   -7.088 | len  514.7 | damage  0.034 | dist -4.908 | aim  0.001 | ent  5.887 | kl 0.0297 | ev  0.957 | altT 15 | pool3 W/L/D 83/15/0 raw_wr 0.85 ema[min 0.551 mean 0.692]
iter  40 | step 1999920 | return   -6.055 | len  538.1 | damage  0.031 | dist -4.548 | aim  0.001 | ent  5.808 | kl 0.0281 | ev  0.940 | altT 11 | pool3 W/L/D 80/11/0 raw_wr 0.88 ema[min 0.566 mean 0.702]
iter  41 | step 2049918 | return   -4.964 | len  504.1 | damage -0.007 | dist -4.049 | aim  0.000 | ent  5.812 | kl 0.0290 | ev  0.971 | altT 9 | pool3 W/L/D 90/9/0 raw_wr 0.91 ema[min 0.580 mean 0.713]
iter  42 | step 2099916 | return   -4.662 | len  534.2 | damage  0.000 | dist -3.864 | aim  0.001 | ent  5.832 | kl 0.0249 | ev  0.958 | altT 8 | pool3 W/L/D 85/8/1 raw_wr 0.90 ema[min 0.592 mean 0.723]
iter  43 | step 2149914 | return   -3.846 | len  517.7 | damage  0.015 | dist -2.932 | aim -0.000 | ent  5.764 | kl 0.0289 | ev  0.930 | altT 9 | pool4 W/L/D 89/9/0 raw_wr 0.91 ema[min 0.500 mean 0.674] *POOL+ (added current, best saved)*
iter  44 | step 2199912 | return   -6.769 | len  536.1 | damage  0.007 | dist -2.446 | aim  0.000 | ent  5.707 | kl 0.0282 | ev  0.964 | altT 23 | pool4 W/L/D 66/23/2 raw_wr 0.73 ema[min 0.499 mean 0.681]
iter  45 | step 2249910 | return   -4.569 | len  568.5 | damage  0.009 | dist -1.936 | aim  0.001 | ent  5.718 | kl 0.0289 | ev  0.974 | altT 15 | pool4 W/L/D 70/15/2 raw_wr 0.80 ema[min 0.503 mean 0.689]
iter  46 | step 2299908 | return   -4.552 | len  589.8 | damage -0.007 | dist -1.939 | aim  0.004 | ent  5.720 | kl 0.0285 | ev  0.958 | altT 14 | pool4 W/L/D 66/14/2 raw_wr 0.80 ema[min 0.507 mean 0.696]
iter  47 | step 2349906 | return   -4.592 | len  627.5 | damage  0.003 | dist -1.712 | aim  0.008 | ent  5.695 | kl 0.0290 | ev  0.956 | altT 15 | pool4 W/L/D 63/15/4 raw_wr 0.77 ema[min 0.509 mean 0.704]
iter  48 | step 2399904 | return   -3.758 | len  641.8 | damage  0.008 | dist -0.861 | aim  0.003 | ent  5.709 | kl 0.0272 | ev  0.961 | altT 14 | pool4 W/L/D 59/14/3 raw_wr 0.78 ema[min 0.509 mean 0.713]
iter  49 | step 2449902 | return   -3.657 | len  673.5 | damage  0.018 | dist -0.824 | aim  0.006 | ent  5.732 | kl 0.0271 | ev  0.957 | altT 14 | pool4 W/L/D 60/14/3 raw_wr 0.78 ema[min 0.512 mean 0.719]
iter  50 | step 2499900 | return   -2.557 | len  540.8 | damage  0.007 | dist -0.705 | aim  0.005 | ent  5.678 | kl 0.0287 | ev  0.978 | altT 12 | pool4 W/L/D 76/12/0 raw_wr 0.86 ema[min 0.526 mean 0.729]
iter  51 | step 2549898 | return   -1.613 | len  636.1 | damage  0.016 | dist -0.537 | aim  0.007 | ent  5.638 | kl 0.0246 | ev  0.919 | altT 8 | pool4 W/L/D 71/8/2 raw_wr 0.88 ema[min 0.537 mean 0.739]
iter  52 | step 2599896 | return   -2.500 | len  676.3 | damage -0.022 | dist -1.141 | aim  0.006 | ent  5.576 | kl 0.0274 | ev  0.936 | altT 8 | pool4 W/L/D 62/8/3 raw_wr 0.85 ema[min 0.546 mean 0.747]
iter  53 | step 2649894 | return   -1.119 | len  619.4 | damage  0.044 | dist -0.631 | aim  0.010 | ent  5.568 | kl 0.0284 | ev  0.968 | altT 6 | pool4 W/L/D 75/6/2 raw_wr 0.90 ema[min 0.560 mean 0.756]
iter  54 | step 2699892 | return   -1.319 | len  535.5 | damage  0.001 | dist -0.038 | aim  0.012 | ent  5.581 | kl 0.0256 | ev  0.951 | altT 10 | pool4 W/L/D 81/10/1 raw_wr 0.88 ema[min 0.570 mean 0.765]
iter  55 | step 2749890 | return   -0.818 | len  660.6 | damage -0.005 | dist  0.249 | aim  0.007 | ent  5.629 | kl 0.0264 | ev  0.975 | altT 7 | pool4 W/L/D 62/7/4 raw_wr 0.85 ema[min 0.577 mean 0.771]
iter  56 | step 2799888 | return    0.175 | len  589.3 | damage -0.008 | dist  0.380 | aim  0.021 | ent  5.566 | kl 0.0280 | ev  0.951 | altT 5 | pool4 W/L/D 81/5/1 raw_wr 0.93 ema[min 0.589 mean 0.779]
iter  57 | step 2849886 | return    1.068 | len  523.6 | damage -0.006 | dist  0.304 | aim  0.006 | ent  5.530 | kl 0.0263 | ev  0.969 | altT 1 | pool5 W/L/D 94/1/2 raw_wr 0.97 ema[min 0.500 mean 0.731] *POOL+ (added current, best saved)*
iter  58 | step 2899884 | return   -1.150 | len  716.4 | damage -0.009 | dist  0.863 | aim  0.013 | ent  5.568 | kl 0.0271 | ev  0.966 | altT 9 | pool5 W/L/D 51/9/4 raw_wr 0.80 ema[min 0.500 mean 0.738]
iter  59 | step 2949882 | return   -1.082 | len  817.8 | damage  0.013 | dist  1.315 | aim  0.041 | ent  5.623 | kl 0.0276 | ev  0.898 | altT 10 | pool5 W/L/D 48/10/4 raw_wr 0.77 ema[min 0.503 mean 0.745]
iter  60 | step 2999880 | return   -1.152 | len  659.2 | damage  0.019 | dist  1.206 | aim  0.029 | ent  5.549 | kl 0.0257 | ev  0.907 | altT 12 | pool5 W/L/D 62/12/0 raw_wr 0.84 ema[min 0.507 mean 0.753]
