[claude_code/PPO] wandb 로깅 활성: project='AIP contest' run='team02/basic'
[claude_code/PPO] opponent pool 초기화 = iter0 정책 1개 (최대 5개, EMA α=0.1, 추가 임계 min-EMA≥0.60, 초기 EMA=0.5, 샘플 τ=0.3)
[claude_code/PPO] snapshot 저장: claude_code\models\team02\basic (iter 0 = 초기 network)
iter   1 | step   49998 | return  -10.072 | len  433.5 | damage  0.010 | shaping  -3.897 | ent 11.181 | kl 0.0965 | ev -0.010 | altT 51 | pool1 W/L/D 63/51/0 raw_wr 0.55 ema[min 0.505 mean 0.505]
iter   2 | step   99996 | return  -15.268 | len  428.0 | damage  0.000 | shaping  -4.040 | ent 11.057 | kl 0.0472 | ev  0.723 | altT 74 | pool1 W/L/D 40/74/0 raw_wr 0.35 ema[min 0.490 mean 0.490]
iter   3 | step  149994 | return  -15.542 | len  422.2 | damage -0.006 | shaping  -3.869 | ent 11.016 | kl 0.0480 | ev  0.863 | altT 80 | pool1 W/L/D 40/80/0 raw_wr 0.33 ema[min 0.474 mean 0.474]
iter   4 | step  199992 | return  -14.173 | len  424.9 | damage  0.007 | shaping  -4.009 | ent 11.013 | kl 0.0474 | ev  0.913 | altT 71 | pool1 W/L/D 46/71/0 raw_wr 0.39 ema[min 0.466 mean 0.466]
iter   5 | step  249990 | return   -9.147 | len  436.9 | damage  0.003 | shaping  -4.281 | ent 10.970 | kl 0.0464 | ev  0.899 | altT 45 | pool1 W/L/D 69/45/0 raw_wr 0.61 ema[min 0.480 mean 0.480]
iter   6 | step  299988 | return   -9.208 | len  444.5 | damage  0.002 | shaping  -4.475 | ent 10.962 | kl 0.0479 | ev  0.918 | altT 44 | pool1 W/L/D 69/44/0 raw_wr 0.61 ema[min 0.493 mean 0.493]
iter   7 | step  349986 | return   -7.129 | len  448.4 | damage  0.020 | shaping  -4.492 | ent 10.892 | kl 0.0474 | ev  0.933 | altT 34 | pool1 W/L/D 77/34/0 raw_wr 0.69 ema[min 0.513 mean 0.513]
iter   8 | step  399984 | return   -4.260 | len  451.1 | damage -0.003 | shaping  -4.528 | ent 10.882 | kl 0.0461 | ev  0.927 | altT 21 | pool1 W/L/D 90/21/0 raw_wr 0.81 ema[min 0.543 mean 0.543]
iter   9 | step  449982 | return   -3.847 | len  457.6 | damage  0.011 | shaping  -4.767 | ent 10.820 | kl 0.0520 | ev  0.927 | altT 18 | pool1 W/L/D 92/18/0 raw_wr 0.84 ema[min 0.572 mean 0.572]
iter  10 | step  499980 | return   -1.632 | len  458.3 | damage  0.003 | shaping  -4.817 | ent 10.816 | kl 0.0446 | ev  0.962 | altT 8 | pool2 W/L/D 102/8/0 raw_wr 0.93 ema[min 0.500 mean 0.554] *POOL+ (added current, best saved)*
iter  11 | step  549978 | return   -9.092 | len  539.4 | damage  0.004 | shaping  -6.512 | ent 10.770 | kl 0.0469 | ev  0.958 | altT 27 | pool2 W/L/D 62/27/0 raw_wr 0.70 ema[min 0.501 mean 0.571]
iter  12 | step  599976 | return   -7.418 | len  545.5 | damage -0.010 | shaping  -6.639 | ent 10.730 | kl 0.0454 | ev  0.954 | altT 21 | pool2 W/L/D 70/21/0 raw_wr 0.77 ema[min 0.514 mean 0.593]
